Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,2163,,0.5399,,0.5583,,0.6081,,0.6648,,0.7294,,0.6189,,0.6364,,0.5625,,0.6093,,0.6286,,0.5695,,0.5381,,0.5672,,0.4904,,0.7277,,0.7311,,0.8249,,0.5648,,0.8052,,0.6078,,0.6598,,0.6974,,0.7121,,0.6837,,0.6552,,0.6648,,0.6983,,0.6861
1,14170,,0.5461,,0.5561,,0.5974,,0.6617,,0.7195,,0.617,,0.6379,,0.5584,,0.6165,,0.6143,,0.5797,,0.5312,,0.5699,,0.5014,,0.697,,0.7641,,0.8204,,0.5755,,0.8029,,0.6019,,0.6582,,0.7066,,0.7313,,0.6804,,0.6311,,0.6574,,0.6739,,0.6677
2,21600,,0.5475,,0.5621,,0.5904,,0.6845,,0.7189,,0.6181,,0.6372,,0.5613,,0.603,,0.6017,,0.5705,,0.5497,,0.5676,,0.494,,0.6841,,0.7672,,0.8101,,0.5707,,0.8063,,0.5973,,0.6615,,0.7524,,0.8457,,0.6692,,0.6317,,0.6529,,0.6692,,0.6532
3,31600,,0.5539,,0.5613,,0.6081,,0.6619,,0.7222,,0.6075,,0.6302,,0.5573,,0.8676,,0.7183,,0.5753,,0.5459,,0.5678,,0.5025,,0.7283,,0.797,,0.8226,,0.584,,0.7828,,0.6036,,0.6778,,0.7345,,0.6998,,0.6724,,0.6286,,0.6621,,0.686,,0.6773
4,41599,,0.5537,,0.5709,,0.6037,,0.6475,,0.7473,,0.6073,,0.6425,,0.5499,,0.6701,,0.6971,,0.5851,,0.5502,,0.5703,,0.5124,,0.6948,,0.7712,,0.7973,,0.5829,,0.7801,,0.5956,,0.6734,,0.7511,,0.774,,0.6825,,0.6189,,0.6737,,0.6986,,0.6864
5,51612,,0.5495,,0.5589,,0.5853,,0.6801,,0.7441,,0.6147,,0.6388,,0.5519,,0.6096,,0.628,,0.5973,,0.5471,,0.5693,,0.5117,,0.6979,,0.8009,,0.7941,,0.582,,0.7841,,0.5913,,0.6824,,0.7447,,0.6714,,0.666,,0.6197,,0.7377,,0.8947,,0.8817
6,61613,,0.5336,,0.557,,0.5881,,0.6395,,0.7513,,0.6144,,0.6558,,0.544,,0.7154,,0.6358,,0.5908,,0.5417,,0.5632,,0.495,,0.6599,,0.735,,0.7767,,0.5672,,0.7719,,0.5948,,0.6814,,0.7918,,0.7389,,0.6607,,0.6098,,0.8395,,0.8373,,0.8249
7,71622,,0.5377,,0.5476,,0.5794,,0.638,,0.7255,,0.6148,,0.6315,,0.5425,,0.6843,,0.6495,,0.5708,,0.545,,0.5628,,0.4956,,0.684,,0.7045,,0.7911,,0.5773,,0.7678,,0.5975,,0.6716,,0.8586,,0.6825,,0.6631,,0.6083,,0.7052,,0.7225,,0.7125
8,81702,,0.5483,,0.5566,,0.588,,0.6834,,0.7038,,0.6066,,0.6241,,0.541,,0.6616,,0.6744,,0.5768,,0.5464,,0.5681,,0.497,,0.6872,,0.771,,0.7737,,0.5748,,0.7668,,0.5916,,0.6726,,0.8096,,0.6775,,0.6735,,0.6026,,0.654,,0.6767,,0.6593
9,91628,,0.5469,,0.5624,,0.5833,,0.7072,,0.6919,,0.6062,,0.6377,,0.5284,,0.6449,,0.7236,,0.5686,,0.55,,0.5635,,0.5022,,0.647,,0.7699,,0.7834,,0.5669,,0.765,,0.6028,,0.6837,,0.7631,,0.7329,,0.6481,,0.6029,,0.6459,,0.6642,,0.6397
10,101626,,0.554,,0.5704,,0.5878,,0.7001,,0.7132,,0.6155,,0.6217,,0.5285,,0.7171,,0.6804,,0.5695,,0.5486,,0.5638,,0.4969,,0.6665,,0.746,,0.7937,,0.5613,,0.7539,,0.601,,0.6784,,0.7377,,0.6701,,0.6461,,0.6028,,0.6404,,0.6773,,0.647
11,111626,,0.5482,,0.5601,,0.5846,,0.701,,0.7078,,0.6109,,0.6325,,0.5404,,0.6464,,0.6504,,0.5864,,0.5449,,0.5657,,0.4915,,0.6381,,0.7151,,0.7715,,0.5718,,0.7619,,0.5945,,0.6783,,0.7012,,0.6442,,0.6438,,0.5971,,0.6315,,0.6639,,0.6391
12,121628,,0.55,,0.5584,,0.591,,0.6889,,0.702,,0.6166,,0.6127,,0.5543,,0.7297,,0.6695,,0.5892,,0.5407,,0.5585,,0.4952,,0.6541,,0.6919,,0.7808,,0.5738,,0.7712,,0.596,,0.6682,,0.6999,,0.6519,,0.6436,,0.5896,,0.6389,,0.6666,,0.6622
13,160156,,0.553,,0.5617,,0.5777,,0.6524,,0.6863,,0.6092,,0.6182,,0.5493,,0.6487,,0.6225,,0.5861,,0.5582,,0.5591,,0.4954,,0.5504,,0.6818,,0.7579,,0.561,,0.7535,,0.5897,,0.6616,,0.6786,,0.64,,0.6346,,0.5938,,0.6802,,0.7272,,0.7175
14,170141,,0.5486,,0.5553,,0.5693,,0.6314,,0.6662,,0.6006,,0.6227,,0.5431,,0.6,,0.6088,,0.6003,,0.5537,,0.5613,,0.4821,,0.5375,,0.6178,,0.6968,,0.5616,,0.7323,,0.5892,,0.6566,,0.6556,,0.6088,,0.6095,,0.5809,,0.6673,,0.6949,,0.6774
