Frame,Time (ms),,Mean Intensity 
0,2163,,0.7703
1,14170,,0.7554
2,21600,,0.7692
3,31600,,0.7526
4,41599,,0.7557
5,51612,,0.7458
6,61613,,0.7276
7,71622,,0.7194
8,81702,,0.7287
9,91628,,0.7312
10,101626,,0.7168
11,111626,,0.7182
12,121628,,0.7247
13,160156,,0.7169
14,170141,,0.6851
15,180140,,0.6643
16,190140,,0.6686
17,200140,,0.6866
18,210139,,0.7009
19,220139,,0.6847
20,230139,,0.7037
21,240140,,0.6877
22,250139,,0.7032
23,260138,,0.715
24,270139,,0.7222
25,280138,,0.7135
26,290136,,0.703
27,300138,,0.6853
28,310138,,0.6824
29,320135,,0.6874
30,330135,,0.6945
31,340148,,0.6776
32,350135,,0.6561
33,360135,,0.6612
34,370136,,0.666
35,380135,,0.6628
36,390134,,0.6685
37,400135,,0.6674
38,410134,,0.6681
39,420133,,0.6704
40,430132,,0.6448
41,440132,,0.6546
42,450135,,0.6684
43,460142,,0.6744
44,470132,,0.6667
45,480132,,0.9262
46,520811,,0.9401
47,530770,,0.8044
48,540769,,0.7364
49,550769,,0.7184
50,560769,,0.7121
51,570769,,0.7289
52,580768,,0.7562
53,590769,,0.7726
54,600792,,0.8001
55,610777,,0.8108
56,620788,,0.8141
57,630767,,0.8217
58,640766,,0.8116
59,650766,,0.8143
60,660765,,0.7989
61,670765,,0.7999
62,680765,,0.7939
63,690766,,0.7726
64,700765,,0.7762
65,710765,,0.7773
66,720765,,0.7791
67,730764,,0.7614
68,740763,,0.7649
69,750763,,0.7612
70,760765,,0.7696
71,770763,,0.7563
72,780762,,0.753
73,832289,,0.7488
74,842277,,0.7423
75,852276,,0.7337
76,862276,,0.7233
77,872276,,0.72
78,882276,,0.7192
79,892274,,0.7232
80,902274,,0.7364
81,912275,,0.7209
82,922274,,0.7113
83,932273,,0.7068
84,942274,,0.7168
85,952273,,0.7232
86,962272,,0.7084
87,972273,,0.7131
88,982272,,0.7077
89,992271,,0.7255
90,1002271,,0.7177
91,1012274,,0.7234
92,1022272,,0.7207
93,1032270,,0.7228
94,1042271,,0.7075
95,1052270,,0.7079
96,1062270,,0.7022
97,1108165,,1.0091
98,1118181,,0.8285
99,1128158,,0.8508
100,1138159,,0.8375
101,1148156,,0.8314
102,1158158,,0.8323
103,1168157,,0.8436
104,1178156,,0.8365
105,1188156,,0.8494
106,1198155,,0.852
107,1208156,,0.8595
108,1218155,,0.8681
109,1228156,,0.8522
110,1238160,,0.8597
111,1248159,,0.8569
112,1258155,,0.8408
