Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,807,,0.6987,,0.6006,,0.7156,,0.7001,,0.6596,,0.6881,,0.6449,,0.6709,,0.748,,0.5722,,0.5629,,0.5818,,0.6252,,0.5462,,0.5389,,0.6197,,0.736,,0.5091,,0.5194,,0.8644,,0.6263,,0.8102,,0.596,,0.5819,,0.564,,0.7463,,0.5668,,0.7084
1,11605,,0.6849,,0.598,,0.7221,,0.6991,,0.6698,,0.6813,,0.6432,,0.6609,,0.7629,,0.5571,,0.5487,,0.5793,,0.6319,,0.5362,,0.5331,,0.6086,,0.7066,,0.4991,,0.5101,,0.8403,,0.6237,,0.7885,,0.5934,,0.5722,,0.5677,,0.7496,,0.5773,,0.7056
2,21610,,0.6842,,0.6119,,0.7261,,0.7143,,0.6633,,0.6938,,0.6409,,0.6726,,0.7651,,0.5632,,0.5482,,0.5814,,0.6322,,0.53,,0.5315,,0.5979,,0.7129,,0.5014,,0.5201,,0.8337,,0.6193,,0.8084,,0.6048,,0.5737,,0.5785,,0.7637,,0.5583,,0.709
3,31616,,0.6837,,0.6117,,0.7286,,0.6995,,0.6728,,0.6995,,0.6413,,0.6794,,0.7399,,0.5549,,0.5581,,0.5847,,0.6283,,0.553,,0.5412,,0.6101,,0.7391,,0.5035,,0.5128,,0.8472,,0.6226,,0.801,,0.6068,,0.5816,,0.5695,,0.7407,,0.5655,,0.7035
4,41615,,0.6831,,0.5991,,0.7218,,0.7055,,0.6535,,0.6973,,0.6444,,0.6699,,0.7234,,0.5651,,0.559,,0.5906,,0.6468,,0.5615,,0.5369,,0.6188,,0.7276,,0.5117,,0.5072,,0.8345,,0.6282,,0.8026,,0.5955,,0.5826,,0.5724,,0.7517,,0.569,,0.7099
5,51614,,0.6828,,0.6194,,0.7309,,0.7276,,0.659,,0.6939,,0.6449,,0.6663,,0.7431,,0.5725,,0.5555,,0.6012,,0.6069,,0.5468,,0.5319,,0.6156,,0.7676,,0.5052,,0.5241,,0.8486,,0.6156,,0.8007,,0.6078,,0.5809,,0.574,,0.7511,,0.5592,,0.6997
6,61614,,0.6873,,0.6212,,0.7142,,0.7065,,0.6675,,0.6987,,0.6526,,0.6875,,0.751,,0.5596,,0.5534,,0.5953,,0.6176,,0.5446,,0.5355,,0.6147,,0.7563,,0.5085,,0.5294,,0.8587,,0.6225,,0.8115,,0.6079,,0.5802,,0.5806,,0.7549,,0.5698,,0.7194
7,71613,,0.6772,,0.6022,,0.7261,,0.7103,,0.6519,,0.6981,,0.6494,,0.6833,,0.7466,,0.5681,,0.5557,,0.5974,,0.6382,,0.5608,,0.5336,,0.6134,,0.7088,,0.4972,,0.528,,0.8554,,0.6228,,0.8164,,0.6017,,0.5716,,0.563,,0.7742,,0.5683,,0.675
8,81612,,0.6881,,0.6184,,0.7199,,0.698,,0.6669,,0.6902,,0.6491,,0.6778,,0.7453,,0.5755,,0.5537,,0.5935,,0.646,,0.5667,,0.5423,,0.6028,,0.7684,,0.4976,,0.5288,,0.832,,0.6224,,0.8131,,0.5975,,0.5813,,0.5779,,0.7743,,0.5654,,0.7178
9,91613,,0.6771,,0.6085,,0.723,,0.7037,,0.662,,0.6959,,0.6543,,0.6759,,0.7386,,0.5694,,0.5592,,0.5916,,0.8728,,0.5658,,0.5414,,0.6027,,0.7483,,0.5063,,0.5248,,0.8344,,0.6189,,0.7987,,0.5979,,0.5763,,0.5726,,0.7981,,0.5642,,0.7138
