Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,807,,0.7478,,0.5484,,0.7297,,0.7458,,0.6036,,0.522,,0.7188,,0.6398,,0.6016,,0.6233,,0.6282
1,11605,,0.7474,,0.5421,,0.7405,,0.7526,,0.6137,,0.5115,,0.7268,,0.6232,,0.6177,,0.6242,,0.6317
2,21610,,0.7475,,0.5522,,0.7413,,0.7562,,0.5882,,0.5124,,0.7214,,0.6241,,0.5994,,0.6172,,0.6318
3,31616,,0.7515,,0.5452,,0.7464,,0.7601,,0.6026,,0.5278,,0.7085,,0.6038,,0.5951,,0.6156,,0.6354
4,41615,,0.7584,,0.542,,0.7453,,0.7501,,0.6025,,0.5196,,0.706,,0.6211,,0.6041,,0.6164,,0.6289
5,51614,,0.7429,,0.544,,0.7517,,0.7761,,0.6049,,0.5195,,0.7159,,0.6187,,0.5976,,0.6123,,0.6261
6,61614,,0.7458,,0.5432,,0.7528,,0.7931,,0.6181,,0.5248,,0.721,,0.628,,0.5975,,0.629,,0.6462
7,71613,,0.7549,,0.5456,,0.7447,,0.7844,,0.6146,,0.5108,,0.7226,,0.6126,,0.6038,,0.6216,,0.6231
8,81612,,0.7533,,0.5414,,0.7368,,0.7873,,0.6164,,0.538,,0.7222,,0.6447,,0.5958,,0.618,,0.6284
9,91613,,0.7522,,0.5446,,0.765,,0.8002,,0.6289,,0.5129,,0.7219,,0.652,,0.6082,,0.6346,,0.6145
10,101612,,0.7645,,0.5547,,0.7385,,0.7898,,0.6828,,0.531,,0.7164,,0.6372,,0.6121,,0.6218,,0.6513
11,111611,,0.7786,,0.553,,0.7544,,0.797,,0.7371,,0.5421,,0.7246,,0.6683,,0.612,,0.618,,0.6277
12,121610,,0.7834,,0.5592,,0.7498,,0.8026,,0.8715,,0.539,,0.7349,,0.6508,,0.6108,,0.6234,,0.6292
13,131611,,0.8049,,0.5616,,0.7605,,0.8012,,0.8843,,0.5382,,0.7237,,0.6775,,0.6149,,0.6298,,0.6613
14,176268,,0.8146,,0.5508,,0.7788,,0.7821,,0.8402,,0.5192,,0.7343,,0.6585,,0.6144,,0.6205,,0.6445
15,186251,,0.8143,,0.5536,,0.7662,,0.7843,,0.6568,,0.5302,,0.7276,,0.6515,,0.6124,,0.6246,,0.6389
16,196259,,0.7733,,0.5488,,0.7737,,0.7823,,0.6232,,0.5226,,0.7281,,0.6556,,0.5994,,0.6272,,0.6398
17,206249,,0.768,,0.5493,,0.7539,,0.7855,,0.6092,,0.5235,,0.7324,,0.641,,0.5975,,0.6181,,0.6414
18,216249,,0.7715,,0.5557,,0.7613,,0.8183,,0.6126,,0.5112,,0.7317,,0.6421,,0.5996,,0.6338,,0.6279
19,226249,,0.7551,,0.5625,,0.7727,,0.8842,,0.5942,,0.5323,,0.7446,,0.6598,,0.5967,,0.6169,,0.6366
20,236269,,0.7701,,0.5527,,0.7662,,0.9792,,0.6259,,0.5232,,0.7363,,0.6437,,0.6141,,0.6285,,0.6328
21,276283,,1.1836,,1.0102,,0.8119,,0.8775,,1.3133,,1.0503,,0.7891,,0.7167,,0.6774,,0.7048,,0.7344
22,286278,,1.2316,,1.0809,,0.822,,0.8476,,1.4585,,1.3052,,0.9207,,0.8294,,0.6611,,0.6845,,0.6891
23,296279,,1.2227,,1.2247,,0.8147,,0.8926,,1.1992,,1.1975,,1.042,,0.8866,,0.6433,,0.6933,,0.6936
24,306277,,1.2163,,1.2015,,0.811,,0.8975,,1.0339,,1.2578,,1.0441,,0.9034,,0.6535,,0.6913,,0.7019
25,316277,,1.1826,,1.123,,0.8174,,0.8565,,0.9721,,1.0879,,1.0306,,0.8954,,0.6434,,0.6807,,0.6837
26,326281,,1.1588,,1.012,,0.8056,,0.8358,,0.814,,1.1528,,0.9846,,0.8832,,0.6549,,0.6792,,0.694
27,336278,,1.0942,,0.9008,,0.8065,,0.8245,,0.8025,,1.0788,,0.9477,,0.8874,,0.6421,,0.6846,,0.6691
28,346277,,1.0274,,0.8145,,0.8132,,0.8147,,0.7639,,1.0322,,0.9084,,0.8739,,0.652,,0.6833,,0.6831
29,356276,,0.9704,,0.7445,,0.8046,,0.816,,0.7669,,0.9384,,0.8977,,0.8276,,0.6462,,0.6742,,0.6806
30,366276,,0.9098,,0.6636,,0.8092,,0.8026,,0.7707,,0.8139,,0.8293,,0.7787,,0.6482,,0.6583,,0.652
31,376275,,0.8899,,0.6327,,0.8042,,0.8072,,0.7811,,0.7036,,0.8372,,0.7362,,0.6503,,0.6659,,0.6667
32,386276,,0.8592,,0.5855,,0.7878,,0.7881,,0.78,,0.6913,,0.8104,,0.7013,,0.6447,,0.6618,,0.6621
33,396276,,0.8421,,0.5665,,0.7931,,0.7924,,0.7653,,0.7103,,0.7734,,0.7015,,0.6337,,0.6556,,0.6721
34,406274,,0.8064,,0.5513,,0.7866,,0.7975,,0.7889,,0.7178,,0.7789,,0.6977,,0.6474,,0.6372,,0.6783
35,416273,,0.8026,,0.5508,,0.7978,,0.7808,,0.7628,,0.6779,,0.7575,,0.6892,,0.6355,,0.6375,,0.6634
36,426275,,0.7785,,0.5347,,0.7906,,0.7781,,0.7678,,0.6746,,0.7579,,0.7066,,0.62,,0.6576,,0.6532
37,436275,,0.7615,,0.5394,,0.7858,,0.7796,,0.7341,,0.6742,,0.7461,,0.6908,,0.6397,,0.6672,,0.6587
38,446274,,0.784,,0.5323,,0.7929,,0.7965,,0.7241,,0.6651,,0.7517,,0.6977,,0.6263,,0.6463,,0.6682
39,456274,,0.7646,,0.5361,,0.7964,,0.7917,,0.7128,,0.6444,,0.733,,0.6942,,0.6353,,0.6405,,0.6805
