Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,18.5455,,17.9667,,19.2679,,20.12,,21.1429,,22.5909,,23.5,,22.898,,19.5667,,20.8333,,21.32,,18.475,,21.2917,,13.45,,16.25,,17.45,,17.68,,13.5429,,14.5667,,22.6944,,19.1857,,22.2407,,19.1429,,21.4444,,15.7,,24.0278,,15.2857,,15.0857
1,10805,,19.6182,,18.1333,,18.5893,,20.04,,21.4,,21.7955,,22.5,,22.7959,,20,,21.6667,,21.48,,19.025,,20.9167,,14.45,,16.5,,17.125,,17.64,,12.0571,,14,,22.7778,,18.9429,,22.2593,,20.9388,,21.1852,,15.5667,,24.5278,,16,,15.6286
2,20801,,18.8545,,19.0333,,18.7321,,20.48,,20.5714,,22.1477,,23.0714,,21.6735,,18.8333,,20.75,,21.14,,18.75,,21.5833,,15.3,,17.2083,,17.2,,16.52,,13.7429,,15.2,,22.8333,,19.4429,,22.7778,,20.3469,,20.6296,,16.7,,24.4444,,15.6667,,15.6286
3,30800,,19.1091,,18.4,,18.5536,,20.44,,21.2857,,21.875,,22.0714,,22.5306,,19.5333,,19.875,,21.34,,18.175,,21.3333,,15.25,,15.125,,16.85,,16.64,,13,,14.4,,22.2222,,18.3429,,22.037,,20.6122,,21.6111,,16.3,,25.1667,,15.9524,,15.3714
4,40800,,18.4182,,17.9333,,18.6964,,20.16,,20.9143,,21.5341,,22.5357,,22.7143,,20.7333,,21.625,,20.52,,17.675,,22.2917,,15.35,,16.0833,,17.125,,16.4,,13.6286,,15.1,,22.6389,,18.5571,,22.3333,,20.3061,,21.3519,,15.5333,,24.8056,,16.0952,,16.1429
5,50799,,18.8182,,18.4667,,19.1964,,20.64,,20.9714,,22.6818,,21.6429,,21.9796,,19.1667,,21.25,,21.82,,18.9,,21,,15,,17.0833,,17.2,,17.04,,12.6857,,14.3333,,22.4444,,18.8571,,22.537,,19.8163,,21.7037,,15.2333,,24.9167,,16.4762,,15.4
6,60799,,18.8545,,17.5667,,18.2143,,20.2,,20.7143,,22.4886,,22.6429,,21.8367,,19.3667,,21.25,,21.28,,18.35,,20.75,,14.2,,17.0417,,16.925,,16.52,,12.4857,,15.3333,,21.9722,,18.1,,22.6667,,19.8367,,21.5,,15.9667,,24.5,,15.8571,,15.3714
7,70799,,19.3091,,18.1,,17.8214,,20.08,,21.6571,,21.6364,,22.5357,,22.2245,,19.9333,,20.625,,20.94,,17.325,,22.3333,,14.25,,16.3333,,17.2,,17,,12.7714,,14.8667,,22.6667,,18.9286,,22.3148,,20.1224,,21.1481,,15.1333,,25.5833,,16.1905,,15.6
8,80798,,19,,19.4667,,18.1786,,19.36,,20.5143,,21.9432,,22.3929,,22.0816,,19.1333,,21.7083,,21.06,,18.35,,20.75,,16.15,,15.9167,,17.25,,17.84,,13.6857,,14.1333,,22.3056,,18.3143,,22.7963,,19.6327,,21.463,,16.0333,,24.4167,,15.381,,15.3143
9,90799,,19.4182,,18.9667,,18.1786,,20.64,,20.7429,,21.9091,,22.0714,,21.8163,,19.4667,,20.75,,21.44,,18.6,,21.4583,,14.35,,16.2917,,17.375,,18.2,,12.9714,,14.2667,,22.5278,,18.7143,,22.8704,,20.0816,,21.037,,15.6,,25.3056,,15.8571,,15.7143
10,100798,,18.9273,,19.3,,18.6429,,20.24,,20.8857,,22.1591,,22.5,,22.3673,,19.4,,20.5417,,21.68,,18.975,,21.9583,,15.1,,16.2917,,17.125,,17.52,,13.2857,,14.3667,,22.7222,,18.7286,,22.2037,,19.8776,,21.5,,15.8333,,24.4722,,15.381,,15.3429
11,110797,,17.9091,,18.0667,,18.6429,,19.12,,20.2571,,21.4773,,22.3214,,22.3265,,19.7333,,20.0417,,21.76,,19.65,,21.5,,15,,15.5417,,17.475,,16.72,,12.3143,,14.4333,,22.9722,,19.5286,,22.8333,,20.1224,,21.7778,,16,,25.6389,,15.7619,,15.7429
12,120797,,18.8,,18.3667,,18.6964,,19.92,,20.8,,22.875,,22.6786,,21.8776,,18.4,,21.375,,21.16,,17.875,,20.0417,,14.75,,16.875,,17.05,,17.08,,13.8286,,14.4667,,22.4167,,18.4571,,22.2778,,19.9388,,21.4259,,16.3333,,25.1111,,15.7143,,15.8286
13,130797,,19.1455,,17.3667,,18.9464,,21.48,,20.4571,,21.8409,,22.9286,,22.1429,,19.2,,19.375,,20.9,,17.95,,20.25,,15.25,,17.4583,,16.575,,17.04,,12.7429,,14.7,,21.5,,18.4429,,22.2407,,20.3265,,21.9259,,15.6333,,24.8889,,16,,15.0286
14,175453,,18.8182,,18.6667,,19.3393,,20,,21.2571,,21.75,,22.2143,,21.3673,,18.5333,,21.1667,,21.22,,18.825,,19.8333,,14.65,,16.5417,,17.525,,17.28,,13.1143,,14.7667,,22.4444,,18.3714,,22.2963,,20.3673,,21.8704,,15.9,,24.7778,,16.0476,,15.1429
15,185436,,18.1455,,18.0333,,17.9286,,19.08,,21.1714,,21.7841,,21.8929,,21.2857,,19.2,,21.0417,,21.26,,18.2,,20.7083,,15.6,,16.4583,,17.3,,16.56,,12.6857,,15.2,,22.5556,,18.3714,,22.0185,,19.5918,,20.6667,,15.4667,,25.1111,,15.3333,,15.8857
16,195435,,19.4182,,19.2333,,18.8036,,19,,20.8286,,22.3977,,21.25,,21.2653,,19.4333,,20.7083,,21.14,,18.025,,20.8333,,13.65,,15.7917,,17.2,,17.08,,12.6,,13.4667,,22.3889,,18.6714,,21.6667,,19.2245,,21.4074,,16.0667,,24.3611,,15.9524,,16.3714
17,205435,,18.4,,18.2333,,17.875,,20.04,,21.2,,22.0909,,22.7857,,22.3061,,20,,20.2917,,21.64,,18.375,,19.6667,,14.25,,16.8333,,17.6,,17.68,,12.5429,,13.3333,,22.3889,,18.8714,,22.6111,,19.8163,,22.7037,,15.5333,,24.5833,,16.1905,,15.9714
18,215435,,18.4364,,19.0667,,18.375,,20.08,,21.2,,21.25,,22.3571,,21.7959,,18.8667,,19.6667,,20.18,,18.15,,20.8333,,14.2,,16.25,,17.35,,17.72,,13.4,,14.2333,,22.25,,18.2714,,22.7963,,21.102,,21.5,,15.8,,24.2778,,15.2381,,15.3714
19,225435,,19.1636,,17.3667,,18.4821,,19.84,,20.7143,,21.8636,,22.4643,,22.6327,,18.1,,20.2917,,20.94,,18.4,,21.875,,14.65,,16.5417,,17.075,,17,,14.1714,,13.9667,,21.9167,,18.9286,,22.6667,,20.449,,20.463,,15.6,,24.75,,16.0952,,15.1429
20,235435,,18.9273,,18.5,,18.8036,,20,,21.7429,,22.5455,,22.5,,22.1429,,20.4,,20.9167,,21.28,,18.45,,21.4167,,13.6,,16.0417,,17.375,,17.36,,12.6571,,14.2667,,22.1389,,18.3286,,22.0185,,20.1633,,20.9074,,15.8333,,24.6111,,16.5238,,15.6857
21,275469,,18.9636,,17.7667,,18.5179,,20.04,,20.1429,,21.7159,,22.75,,22.2653,,18.8,,19.875,,21.16,,17.65,,20.2917,,15,,17.5417,,17.05,,18.04,,12.6857,,14.3667,,23.1389,,19.1714,,22.963,,20.7959,,21.8333,,14.8,,25.3056,,15.619,,15.4857
22,285464,,18.8545,,18.9333,,18.5714,,19.72,,20.8286,,21.8523,,21.4286,,21.3878,,19.8667,,19.625,,21.4,,18.6,,20.875,,15.3,,16.75,,16.7,,16.56,,13.3429,,14.6,,22.6389,,19.0857,,23.4815,,20.898,,20.6667,,16.5,,25.3333,,14.9524,,14.4286
