Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,18.875,,16.8,,18.5238,,26.8889,,26.7143,,22.0408,,24.5,,22.95,,19.6944,,20.9792,,15.0667,,20.3571,,19.3889,,23.2,,23.6964,,25.8367,,27.3929,,27.3429,,23.7857,,26.55,,28.12,,17.8,,16.6667,,15.3175,,14.35,,26.3878,,23.5714,,26.1875
1,10257,,18.9792,,16.8333,,19,,27.1389,,27.102,,22.6327,,23.9306,,20.2,,18.6111,,19.8125,,16.1333,,20.25,,19.6111,,22.84,,24.5179,,26.2041,,29.0714,,27.0571,,23.9762,,25.35,,28.04,,18.925,,16.6944,,15.2857,,15.1333,,26.8163,,23.9643,,26.0625
2,20257,,20.2083,,16.1667,,18.2381,,28.8333,,27.4082,,23.1429,,24.7361,,23.3,,17.0556,,20.1875,,16.0333,,18.8214,,18.8333,,23.38,,24,,26.7959,,28.3214,,28.2571,,24.3095,,24.45,,27.44,,18.85,,16.8889,,15,,14.9333,,26.4286,,23.75,,27
3,30257,,20.1667,,17.7,,18.4048,,28.5,,26.8571,,22.4082,,24.7778,,22.15,,19.1111,,20.6042,,16.3333,,19.2143,,20.7222,,22.5,,24.9643,,27.1633,,27.7143,,27.5429,,23.7857,,25.8,,27.68,,17.55,,16.0278,,14.8413,,15.1833,,26.5306,,24.1964,,26.75
4,40258,,19.5833,,16.7,,18.7143,,28.1389,,27.8163,,22.5918,,25.0833,,21.3,,18.9444,,20.375,,15.9333,,20.3929,,19.3889,,23.1,,24.2857,,27.3469,,28.1429,,28.1143,,25.0952,,25.6,,28.2,,17.3,,17.25,,15.5714,,14.1333,,27.4082,,24.0714,,26.875
5,50256,,19.3333,,16.8,,18.5714,,25.9722,,26.5102,,22.5714,,24.9306,,20.65,,19.9444,,20.375,,16.1667,,17.6429,,18.2778,,22.76,,24.0714,,25.8776,,29.1429,,27.2286,,24.3095,,24.95,,28.24,,18.075,,15.5278,,14.0635,,14.5,,26.8571,,23.375,,26.2188
6,60255,,19.375,,17.5,,18.4286,,26.3889,,26.9388,,21.551,,24.0833,,22,,19.25,,20.6667,,16.2667,,19.5714,,19.0556,,23.2,,24.3393,,26.102,,27.6786,,27.2,,24.619,,25.1,,27.6,,18.275,,16.9167,,14.8889,,15.45,,26.6735,,23.5714,,27.2188
7,70255,,19.5625,,16.9667,,18.7619,,26.5833,,26.8367,,22.0408,,24.8611,,21.45,,19.1111,,20.7292,,15.9333,,18.3929,,19.6667,,22,,24,,26.7959,,29.1429,,26.9714,,24.3095,,25.65,,28.16,,18.45,,16.5,,14.4127,,14.5333,,26.2857,,23.4643,,26.5313
8,80255,,19.5625,,16.8667,,19.3095,,26.3056,,28.1429,,22.6939,,24.6528,,21.35,,18.5833,,20.6042,,17.0333,,19.8929,,19.3333,,22.84,,24,,27.1429,,28.9286,,26.9714,,24.7143,,26.2,,28.16,,18.35,,16.7222,,14.381,,14.8,,26.6122,,23.7857,,26.4063
9,90254,,19.5417,,16.5333,,19.0714,,26.8333,,27.5306,,22.5102,,24.2639,,22.1,,18.3611,,21.5417,,16.2333,,20,,20,,21.96,,24.9821,,26.8367,,28.6786,,27.8286,,24.2381,,24.75,,28.28,,17.65,,16.4167,,15.2857,,14.9,,25.1837,,23.3571,,26.0938
10,133983,,18.9167,,17.4667,,19.3095,,28.7778,,27.7143,,23.3673,,23.7639,,22.55,,19.6389,,20.5833,,15.1333,,18.9286,,21.8889,,23.38,,25.9286,,27.3265,,33.0714,,26.3143,,25.7619,,30.15,,30.28,,17.925,,16.1944,,15.0794,,15.15,,25.7755,,25.7679,,26
11,143971,,20.0417,,16.6,,19.3571,,28.9722,,26.9184,,24.9388,,25.0139,,22.1,,18.5,,20.4375,,14.7,,18.9643,,21.8889,,22.72,,24.9464,,26.3673,,33.3929,,27.0286,,25.119,,29.2,,30.36,,18.425,,16.5,,15.4762,,14.9,,26.1633,,25.4464,,26.5625
12,153971,,18.6042,,17.6667,,19.4286,,29.2778,,26.4898,,24.551,,23.9167,,22.5,,18.75,,21,,15.6667,,19.3571,,19.7778,,23.16,,25.4286,,27.7551,,33.4643,,26.0286,,24.5952,,28.65,,31,,18.525,,16.0556,,15.5556,,15.7667,,25.5918,,25.5893,,25.8438
13,163971,,19.0833,,16.9333,,18.881,,29.0833,,26.3061,,24.1429,,24.75,,22.3,,18.6944,,20.1458,,14.9333,,18.1786,,20.8333,,21.58,,25.6071,,26.7347,,32.1429,,26.4857,,24.5952,,29.45,,30.28,,18.4,,16.3889,,15.3333,,15.0833,,24.8367,,25.4286,,26.7813
14,173971,,18.6042,,18.4333,,18.881,,29.1111,,26.9796,,25.0408,,24.6944,,21.1,,18.9722,,19.8125,,15.8667,,18.8929,,21.1667,,22.3,,25.0893,,26.7755,,32.6071,,27.4,,24.0476,,29.95,,30.72,,17.775,,16.1111,,14.9365,,15.2833,,25.4694,,25.6607,,26
15,183970,,18.625,,17.2,,19.4762,,29.8056,,27.2653,,25.2653,,24.7778,,22.3,,19.0556,,21.1042,,15.2333,,19.7143,,19.5556,,22.1,,24.6786,,26.5306,,32.7857,,26.3714,,24.9286,,30.95,,31.6,,18,,15.7222,,15.7778,,15.5667,,25.9592,,25.5357,,26.125
16,193970,,19.1667,,16.6,,18.9048,,28.1944,,27.2449,,25.4082,,24.7778,,22.75,,19.3333,,20.9583,,14.4667,,18.8929,,20.1111,,22.22,,25.875,,26.1224,,33.2857,,27.6857,,24.6905,,30.8,,30.04,,17.8,,16.8333,,15.3016,,15.85,,26.0408,,25.9107,,26.3438
17,203970,,19.3958,,18.5,,19.0952,,29.2222,,27.3265,,25.5102,,24.5833,,22,,18.6944,,21.0208,,14.8333,,19.1786,,20.2778,,22.78,,25.625,,27.2857,,33.8571,,26.4,,25.1429,,31.25,,30.32,,17.7,,16.2778,,16.0476,,16.4,,25.2041,,25.7857,,25.5625
18,262077,,20.3542,,15.5667,,19,,23.5,,26.8367,,27.8571,,31.7778,,26.9,,22.1667,,22.125,,15.2,,27.2143,,16.6111,,24.4,,27.7679,,26.5918,,26.2857,,25.0857,,27.2857,,26.45,,31.32,,18,,18.9167,,15.5079,,14.2333,,27.0816,,24.6786,,23.2188
19,272061,,20.4792,,16.8,,20.2381,,24.4167,,27.1224,,27.898,,31.5417,,26,,21.8056,,22.1875,,15.2,,25.2143,,15.1111,,24.06,,27.625,,25.2041,,25.9643,,24.4,,28.3333,,27.6,,30.04,,17.85,,18.8889,,16.254,,15.1333,,27.7755,,23.7321,,23.1563
20,282061,,21.5417,,15.8667,,18.881,,24.1111,,26.9592,,28.1224,,31.3472,,26.85,,21.1111,,22.375,,15.0667,,25.8214,,17,,24.3,,26.75,,25.6735,,26.1786,,24.6,,29.1429,,27.2,,29.12,,18.375,,19.6389,,16.8571,,15.2333,,27.5918,,24.1071,,22.375
21,292061,,20.75,,16.0667,,19.5952,,25.2778,,26.6939,,28.102,,31.25,,26.05,,20.9444,,21.8542,,14.2667,,26,,16.0556,,24.16,,27.1071,,27,,26.1429,,24.6,,28.881,,27.45,,31,,17.525,,19.2778,,16.2222,,14.6167,,26.5102,,24.875,,22.7813
22,302060,,20.2083,,15.4667,,20.2381,,23.9444,,26.5102,,28.5306,,31.8056,,25.75,,21.2778,,22.4792,,15.1333,,26,,16.4444,,23.62,,27.0179,,26.3061,,26.4643,,23.9429,,28.9524,,25.3,,31.04,,18.525,,19.25,,16.9524,,15.5,,27,,24.2321,,23.9688
23,312061,,20.25,,14.5667,,19.6667,,23.8889,,27.6939,,27.4694,,31.2083,,26.5,,21.5,,22.6667,,14.6667,,25.4643,,16.4444,,24.12,,27.5536,,27,,26.1429,,24.4857,,27.5238,,26.8,,30.08,,18.375,,19.6111,,16.3968,,15.05,,26.7959,,24.1071,,23.25
24,322060,,20.25,,16,,19.0476,,23.5,,27.3265,,29.0204,,31.6944,,24.9,,20.9722,,23.0833,,15,,25.6786,,17.8333,,24.18,,27.0714,,27.5306,,27.25,,24.6286,,29.2143,,26.05,,31.76,,17.625,,18.9722,,16.9841,,15.0167,,26.5306,,24.4286,,22.3438
25,332060,,20.8333,,15.7667,,18.8095,,23.8333,,27.1429,,27.4286,,32.3472,,26.4,,21.8333,,22,,15.3667,,24.9286,,16.8889,,24.08,,26.125,,26.5102,,25.1429,,24.2571,,28.2143,,26.65,,28.84,,18.225,,19.6667,,16.4921,,13.9,,27.7143,,23.9286,,22.125
26,342059,,20.1667,,16.3667,,19.4762,,23.8333,,26.898,,27.551,,31.625,,25.6,,21.0278,,22.3542,,14.1667,,25.7857,,18.2222,,24.14,,27,,26.9592,,25.1429,,24.6,,27.881,,28,,30.52,,16.875,,19.5,,16.746,,14.35,,27.551,,24.0714,,22.6875
27,352059,,20.5833,,15.2667,,18.5476,,24.4167,,26.2449,,28.8163,,30.6944,,26.05,,22.4444,,23,,14.5667,,24.8214,,17.8889,,23.6,,25.9821,,27.4082,,26.6786,,24.6,,29.3095,,27.35,,30.64,,17.275,,17.9167,,16.873,,14.6167,,26.4286,,23.6071,,23.1563
28,362059,,21.5,,16.4,,18.8333,,24.9722,,27,,27.6122,,32,,26.3,,21.4167,,22.5625,,15.4333,,26.0357,,18.7778,,25.56,,26.9107,,27.102,,26.1786,,24.7429,,29,,27,,30.08,,17.075,,19.6389,,16.9841,,14.8,,27.7347,,24.0179,,23.0625
29,372058,,20.7292,,16.1667,,19.5952,,23.9167,,26.2449,,27.1633,,32.1806,,24.3,,21.8056,,22.0417,,15.9667,,25.6429,,16.3333,,24.2,,27.0893,,26.2041,,25.7857,,24.9714,,28.5476,,27.45,,29.8,,19,,19.3333,,16.5079,,15.8333,,26.7551,,23.6429,,23.6563
30,382058,,19.6042,,14.6667,,20.1429,,25.1667,,27.102,,27.551,,31.4306,,25.9,,21.9722,,22.6042,,15.6333,,26.25,,16.1667,,23.92,,26.8214,,26.3061,,27.0357,,24.6,,29.7143,,28.55,,29.88,,17.9,,18.3333,,16.4762,,15.7333,,27.4286,,25.2679,,22.75
31,392058,,21.2292,,15.3,,19.5,,23.3333,,26.6327,,27.3469,,32.125,,25.6,,21.2222,,22.0833,,15.5,,25.8214,,17.2778,,24.4,,26.875,,25.9388,,26.3214,,25.6,,28.9524,,27.2,,30.04,,17.675,,18.9167,,17.3016,,15.4167,,28.102,,25.0536,,22.5313
