Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,24.8,,24.9286,,27.0286,,22.3625,,24.1667,,24.5833,,27.4722,,26.8,,20.9444
1,10257,,26.75,,25.5714,,26.6286,,23.5125,,24.625,,25.9444,,27.1389,,26.8333,,21.0556
2,20257,,25,,26.3214,,27.6,,23.3,,24.75,,23.4722,,27.3056,,27.2667,,20.6667
3,30257,,25.65,,26.3571,,26.5714,,23.1125,,23.5417,,25.8333,,27.5556,,27.5333,,20.7222
4,40258,,24.05,,25.9286,,27.7143,,24.05,,23.0417,,24.8333,,27.1944,,27.3667,,20.5556
5,50256,,24.85,,23.8929,,26.0857,,22.6875,,22.75,,23.7222,,26.5278,,25.7667,,22.1111
6,60255,,25.75,,25.7143,,26.2286,,23.5125,,24.2083,,25.5,,27.6389,,28.5667,,21.1667
7,70255,,25.6,,25.7857,,27.1143,,23.6,,23.6667,,24.3611,,28.3889,,27.6,,21.3333
8,80255,,24.75,,26.1429,,27.2286,,22.3125,,24.625,,26.25,,26.8056,,27.0667,,19.8333
9,90254,,26.2,,27.1071,,27.2571,,23.1125,,24.0833,,24.1111,,26.2778,,27.3,,20.5556
10,133983,,23.1,,25.2143,,27.4286,,22.9,,24.625,,26.25,,26,,25.4,,23.2778
11,143971,,23.6,,25.2143,,27.4571,,23.4625,,24.875,,26.9444,,26.9167,,24.6,,20.8333
12,153971,,22.35,,25,,26.8571,,22.9875,,25.5,,27.1667,,24.8056,,24.5,,20.8889
13,163971,,23.5,,25.3214,,27.7143,,23.8,,26.2083,,27.25,,25.8611,,25.1333,,21.4444
14,173971,,22.3,,24.4643,,26.9429,,22.625,,26,,27.3611,,27,,24.7333,,20.4444
15,183970,,22.65,,24.9286,,26.6286,,22.6375,,26.1667,,26.9444,,26.3333,,24.4333,,21.2222
16,193970,,22.4,,25.3571,,28.1143,,23.1625,,24.75,,26.8056,,26.3611,,25.7667,,21.1667
17,203970,,22.7,,24.3571,,28.4571,,23.4625,,25.7083,,26.5556,,26.1389,,27.3667,,21.1667
18,262077,,21.6,,29.1786,,29.2286,,25.225,,23.4583,,27.2222,,30.3056,,25.2,,25.6667
19,272061,,23.85,,28.8214,,29.1143,,26.25,,23.4583,,27.3889,,29.5556,,26.6,,24.7778
20,282061,,25.65,,27.9286,,29.8,,25.575,,21.9167,,26.6111,,29.5556,,26.4667,,24.4444
21,292061,,23.85,,29.1071,,30.6,,25.9625,,24.375,,26.1389,,30.25,,26.6333,,25
22,302060,,23.6,,29.6429,,30.3714,,26.3625,,23.4583,,26.4167,,31.0278,,27,,24.5
23,312061,,22.7,,28.75,,29.3714,,26.1375,,23.6667,,26.5278,,30.1667,,26.6667,,25.8889
24,322060,,24.25,,28.9286,,29.9429,,25.825,,23.7917,,26.4444,,29.6111,,26.9333,,25.9444
25,332060,,23.7,,29.3571,,28.5143,,25.625,,22.7917,,26.0833,,29.5833,,26.1667,,23.8333
26,342059,,23.45,,29.4643,,29.6571,,26.225,,23.5,,26.1944,,28.8056,,26,,25.9444
27,352059,,22.8,,29.1429,,30,,26.1625,,22.0833,,26.9167,,29.8889,,26.6,,24.4444
28,362059,,23.3,,28.7143,,30.1143,,25.9875,,23.5,,25.8056,,29.5,,26.9,,24.3333
29,372058,,23.35,,29.8571,,29.8571,,26.2125,,23.3333,,25.7222,,29.6944,,26.4667,,25.9444
30,382058,,21.5,,30.4286,,28.9143,,25.8875,,23.5833,,25.3889,,28.9167,,26.3333,,24.0556
31,392058,,24.05,,29,,30.0571,,25.75,,24.0417,,26.1111,,29.4444,,27.3,,25.7222
32,402057,,24.4,,29.3214,,29.0571,,25.825,,23.1667,,26.8611,,29.6667,,26.8667,,25
33,412058,,22.85,,29.0357,,28.3429,,25.775,,23.7917,,25.4722,,30.0833,,26.4,,24.7778
34,422057,,22.7,,29.5714,,30,,25.9125,,22.9167,,26.2778,,29.3056,,25.9333,,24.9444
35,432056,,22.2,,29.1071,,30.0857,,26.2,,23.2917,,26.6944,,29.5833,,27,,25.4444
36,442056,,23.7,,28.1429,,29.1429,,25.375,,22.9167,,26.4444,,29.7778,,26.8333,,22.9444
37,452056,,23.55,,28.8929,,28.7143,,25.8375,,24,,25.7778,,30.3333,,25.8667,,24.4444
38,462056,,24.15,,29.6071,,29.5714,,25.7625,,24.375,,25.7222,,29.4722,,26.9,,24.4444
39,472055,,22.85,,28.9286,,29.7714,,26.9375,,23.5417,,26.4167,,29.75,,26.4,,26.6111
40,482055,,24.9,,30.4643,,30.6286,,26.9125,,24.1667,,27.2778,,28.6667,,25.6667,,25.1111
41,523689,,23.3,,28.8214,,29.9143,,25.9625,,24.5417,,27.0556,,29.4167,,26.4,,25
42,533678,,24.1,,27.9286,,30.3143,,25.3375,,23.5833,,26,,28.8056,,26.5,,24.7222
43,543678,,22.6,,28.5357,,29.1429,,26.2625,,23.7917,,25.6111,,28.4167,,25.8667,,24.7222
44,553678,,22.3,,27.4643,,29.4286,,25.7625,,22.5417,,26.7778,,29.8889,,26.1667,,24.6111
45,563677,,23.65,,27.7143,,29.5429,,25.6875,,24.2083,,26.8611,,30.2222,,27.3,,25.0556
46,573677,,22.9,,28.8571,,29.4286,,26.575,,22.5,,26,,29.6944,,27.4333,,23.8889
47,583677,,23.6,,28,,27.9714,,25.8,,24.2917,,26.7778,,28.5278,,27.0333,,25.6111
48,593677,,21.95,,29.4286,,30.5143,,25.675,,23.2917,,26.3333,,29.7778,,25.5667,,25.1111
49,603676,,23.1,,29.3929,,29.5143,,25.575,,24.9167,,26.2778,,29.1944,,26.1333,,25.1111
50,613676,,24.2,,29.25,,29.0857,,25.8125,,23.9167,,26.3611,,29.5278,,25.9333,,24.5556
51,623676,,24.2,,28.6786,,29.1429,,26.6,,23,,26.0556,,29.1944,,26.2,,24.8889
52,633675,,25,,27.75,,29.0571,,25.6,,23.7917,,26.6111,,29.3056,,25.3333,,24.2222
53,643675,,22.9,,28.9286,,28.6286,,26.175,,22.5417,,26.4444,,29.6111,,25.7,,25.5556
54,685407,,24,,27.75,,30.1143,,25.95,,23.0417,,26.4722,,30.1389,,25.6,,25.5
55,695392,,23.55,,28.2143,,29.6571,,25.7375,,24,,26.8611,,28.6667,,26.5667,,25.7222
56,705392,,23.2,,28,,29,,25.825,,22.875,,27.1667,,28.6667,,26.6,,27.6667
57,715392,,23.6,,28.7143,,27.6857,,25.475,,22.125,,27.4167,,29.4167,,26.8333,,25.7778
58,725392,,23.7,,27.6786,,30.1429,,27.2875,,22.5833,,25.8056,,29.6667,,26.2333,,25.8333
59,735391,,22.5,,28.9643,,29.6286,,25.0875,,22.7917,,25.4167,,29.3056,,25.1333,,25.1667
60,745391,,23.05,,27.75,,29.8,,26.0125,,22.875,,26.1667,,30.1111,,26.6667,,24.8889
61,755391,,23.3,,29.2143,,29.2286,,25.1375,,22.75,,26.2778,,28.25,,26.4,,22.7222
62,765390,,22.8,,28.6071,,30.2,,25.8,,22.75,,25.8056,,28.4167,,25.3667,,25.8889
63,775390,,22.65,,28.7143,,29.5143,,25.675,,23.3333,,25.4722,,29.5,,25.4,,24.9444
64,785390,,22.75,,28.9643,,29.8571,,25.9875,,23.7083,,25.6111,,29.1944,,26.6333,,25.2778
65,795389,,23.9,,28.5357,,28.9714,,25.6375,,22.9167,,25.4444,,28.6944,,26.3,,26.5556
66,805389,,23.05,,28.3571,,29.7714,,25.2625,,23.4167,,26.7778,,29.1111,,26.9667,,24.3889
67,815389,,23.65,,28.7857,,28.7143,,25.4625,,22.625,,26.5556,,30.0556,,26,,25.5
68,825388,,23,,27.8929,,29.8286,,25.5625,,23,,26.6389,,29.3056,,26,,25.2778
69,835388,,22.85,,27.8929,,29.4857,,25.825,,23.5,,25.2222,,29.4444,,26,,24.9444
70,845388,,23.1,,27.1786,,29.5714,,25.7125,,22.5,,25.9167,,28.8611,,26.5667,,23.9444
71,880219,,25.75,,29.2857,,31.7429,,28.2625,,26.75,,32.3611,,33.75,,30.0667,,29.6667
72,890090,,28.75,,30.1429,,33.4571,,32.9125,,27.625,,35.2222,,37.8889,,34.2333,,29.7778
73,900089,,30.15,,31.0357,,34.8571,,33.575,,28.5833,,35.5556,,38.25,,35.5,,29.3333
74,910089,,29.95,,28.3929,,35.6857,,35.4,,29.5833,,37.25,,40.6667,,35.8667,,30.7778
75,920089,,31.6,,29.5357,,34.5714,,34.6,,29.125,,38.1111,,39.2778,,35.9333,,29.2778
76,930088,,32.5,,28.1786,,35.8,,35.25,,29.4583,,39.25,,39.0833,,36.0333,,29.7778
77,940088,,29.95,,29.0357,,35.5143,,35.7125,,27.875,,39.0833,,41.5556,,37.3,,29.4444
78,950088,,31.6,,29.75,,34.1429,,34.1375,,27.7083,,39.7778,,39.7778,,37.0667,,28.6111
79,960088,,32.3,,30.1429,,34.7429,,34.9125,,28.2917,,40.9444,,39.1944,,37.5333,,27.8333
80,970087,,31.25,,30.8571,,36.1429,,34.125,,28.4167,,41.0278,,39.4444,,37.1333,,29.3889
81,980087,,28.8,,29.6071,,34.1714,,34.475,,29.3333,,40.5556,,39.5833,,36.7,,28.6667
82,990087,,31.35,,29.7857,,34.8286,,33.0375,,28.5833,,40.7778,,40.5278,,37.1,,29
83,1000086,,30.55,,28.7857,,35.0571,,34.55,,27.6667,,41.3889,,39.4167,,37.1333,,28.1667
84,1010086,,30.5,,28.9643,,33.6571,,34.45,,28,,40.25,,39.7222,,37.2333,,27.5
85,1020086,,31.5,,29.8929,,36,,33.3625,,27.7917,,41.3611,,40.3333,,35.0667,,27.7222
86,1030085,,29.8,,29,,34.0286,,33.6875,,27.9167,,40.7222,,40.1111,,35.9,,28.6111
