Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,929,,11.4775,,12.1578,,12.9038,,11.5194,,10.7897,,12.1546,,10.2228,,11.8356,,10.7521,,10.7269,,11.0437,,13.2278,,9.8246,,11.7097,,12.432,,10.8509,,11.9878,,11.4582,,11.3079,,13.1514,,13.785,,11.6909,,14.7825,,12.6744,,12.9394,,11.8663,,11.4291,,11.9407
1,11234,,13.3375,,12.641,,12.2978,,10.9876,,11.4423,,11.9137,,10.8962,,13.1067,,11.2968,,10.5867,,10.5633,,13.641,,10.0343,,12.159,,11.7338,,10.5415,,12.1757,,10.9061,,11.2257,,11.8124,,13.8182,,12.4175,,15.1187,,10.8536,,13.8798,,12.2471,,11.441,,11.8215
2,22011,,12.5355,,11.5364,,12.9683,,10.9443,,11.5066,,11.7053,,10.775,,12.3716,,10.7341,,10.8546,,10.7379,,13.6638,,9.8948,,11.3932,,12.7113,,11.1759,,12.5768,,11.7318,,11.1121,,11.8771,,14.9715,,13.1075,,15.0194,,12.4055,,13.6333,,11.914,,11.7938,,13.016
3,31999,,12.5706,,11.489,,13.9662,,9.5027,,10.2619,,12.0659,,10.8109,,12.0583,,10.9979,,11.1122,,10.5356,,13.2034,,10.0419,,11.6507,,12.1092,,10.7993,,12.7349,,11.5091,,10.9162,,11.5055,,12.552,,14.5744,,13.7082,,11.0206,,13.3536,,12.0535,,11.2785,,12.3266
4,42013,,12.2828,,14.0781,,13.2564,,10.5828,,11.2516,,11.7313,,10.2261,,12.2901,,11.1883,,10.9215,,10.7813,,14.0829,,9.6241,,11.175,,10.9239,,11.3609,,11.468,,12.7363,,11.6868,,11.2976,,13.7412,,14.6797,,13.1985,,12.3159,,13.1851,,12.0212,,12.0076,,12.8678
5,52013,,13.0499,,10.6163,,13.11,,10.0471,,10.7539,,10.8935,,10.4245,,11.3671,,10.7863,,11.1723,,10.8301,,12.7343,,10.2539,,11.198,,13.0167,,10.6631,,12.1069,,11.2522,,11.2738,,11.9411,,13.0487,,13.101,,13.4931,,11.4603,,13.9585,,11.3438,,11.1517,,12.3951
6,62014,,11.98,,11.848,,12.6922,,10.1927,,10.9864,,11.8149,,10.2179,,12.0503,,10.8367,,11.1179,,11.03,,13.2801,,9.7717,,11.3124,,12.8119,,10.243,,11.9378,,11.1726,,11.3886,,11.6692,,13.6234,,11.8223,,13.3977,,10.7794,,13.9793,,11.7132,,11.3528,,11.8948
7,72012,,13.3923,,12.4598,,13.5866,,10.3088,,11.1966,,11.5891,,11.0853,,12.3934,,11.1069,,11.153,,10.5176,,12.6075,,10.6551,,11.9833,,12.9445,,10.7586,,11.9076,,11.3667,,12.0158,,11.7868,,14.2661,,12.2609,,13.5771,,11.5161,,13.683,,11.6336,,11.8439,,12.77
8,82012,,11.4199,,11.7464,,13.9362,,10.4024,,10.8939,,11.903,,10.8389,,12.3054,,11.0976,,10.8966,,10.3659,,12.8551,,9.5176,,11.1659,,10.8984,,11.1574,,12.1349,,11.6947,,11.4717,,11.6518,,13.0293,,12.7189,,15.3942,,11.668,,13.1394,,12.3461,,11.7778,,13.0426
9,92013,,11.7672,,11.6445,,13.4445,,10.1999,,10.8948,,11.3906,,12.2504,,12.0076,,11.8415,,10.9216,,10.285,,14.221,,9.9827,,10.9112,,12.8401,,10.5889,,12.3361,,12.2771,,11.3961,,11.9707,,14.2811,,12.2257,,13.4639,,11.0023,,13.1899,,11.484,,11.6943,,12.425
10,102014,,12.3679,,11.0632,,13.1617,,10.2308,,11.2384,,11.6883,,10.877,,12.9284,,10.83,,10.8787,,10.736,,13.3506,,10.2109,,12.0616,,13.062,,11.0531,,11.7535,,11.461,,11.0458,,11.5494,,13.7304,,13.2827,,15.0024,,11.9736,,14.2321,,11.9507,,11.3897,,13.1706
11,112011,,11.1523,,11.7127,,14.6188,,10.8051,,11.7041,,11.7704,,10.1007,,12.2025,,11.1872,,11.2011,,10.9754,,13.2477,,9.9752,,11.9624,,11.0328,,10.9609,,12.3841,,11.4996,,11.2146,,12.0539,,13.4136,,13.6116,,14.1874,,11.3547,,13.8519,,11.7797,,11.6064,,13.3974
12,122012,,11.8461,,11.7816,,13.6328,,10.9158,,10.8586,,12.2711,,11.9767,,13.3096,,11.533,,10.8981,,10.7631,,14.0758,,10.2307,,11.376,,11.8084,,10.7158,,12.0536,,11.5854,,11.3248,,11.5099,,13.5131,,13.3108,,13.1223,,11.0346,,12.7684,,12.1375,,11.9912,,12.2187
13,132010,,11.7463,,11.2837,,13.9347,,10.2568,,10.8335,,12.9564,,10.9943,,15.2327,,11.5854,,10.9919,,10.7938,,13.8802,,9.9305,,11.7211,,10.9022,,11.1908,,11.8637,,11.6201,,12.0374,,11.6086,,14.2121,,12.1934,,14.2984,,10.83,,12.6865,,11.9706,,11.656,,12.7228
14,142010,,12.1354,,10.39,,12.9507,,10.1908,,11.6503,,12.3632,,10.9626,,12.3898,,10.9758,,10.9612,,10.9645,,13.1194,,9.944,,11.8961,,12.003,,10.5572,,12.4547,,11.5824,,11.2423,,12.8606,,13.6817,,12.6225,,14.8279,,11.6236,,13.8148,,12.2504,,11.6495,,12.4694
15,152010,,11.4198,,11.237,,13.4859,,10.0837,,10.7506,,12.1884,,10.8552,,11.5906,,11.0473,,10.258,,10.8624,,12.7834,,9.2598,,12.7469,,10.9147,,10.7542,,12.028,,12.0568,,10.9195,,11.6022,,13.1506,,12.8934,,14.5941,,11.19,,13.7271,,12.1166,,11.7125,,12.4621
16,162010,,12.3805,,10.8426,,12.7209,,10.435,,11.2077,,11.1476,,12.3131,,12.1947,,11.3063,,11.3126,,11.0237,,13.3386,,9.771,,11.4863,,12.3995,,10.3385,,11.7822,,12.7066,,12.3013,,12.1957,,13.6866,,15.3921,,13.8801,,11.2814,,13.7016,,11.4465,,11.5052,,12.6629
17,172009,,11.6769,,13.7876,,13.0456,,11.4436,,11.3356,,13.0368,,12.3553,,12.8221,,10.8751,,10.9319,,10.6939,,13.9376,,10.2847,,12.1043,,11.9047,,10.8678,,12.0101,,11.9868,,13.3342,,12.4552,,13.8137,,12.5827,,14.5255,,11.9685,,13.8619,,12.5165,,11.9865,,12.7904
18,182009,,11.5309,,12.0995,,12.7887,,10.9992,,11.1019,,11.8157,,10.7984,,12.3626,,11.2906,,10.7602,,10.6875,,14.2002,,10.1459,,11.9959,,12.8909,,11.0845,,12.1734,,11.8362,,11.4549,,12.9934,,13.7141,,11.2431,,15.3377,,11.5257,,13.2295,,12.0125,,11.6138,,12.6329
