Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,922,,8.0423,,9.3803,,8.4165,,10.1043,,9.9716,,14.0094,,11.5842,,9.4791,,7.9364,,8.6648,,8.9149,,8.0434,,7.1825,,8.5652,,8.0492,,6.9086,,7.6504,,7.5947,,8.269,,9.3684,,7.7149,,11.0395,,13.6089,,10.5409,,10.3065,,9.9853,,10.6131
1,11188,,7.8246,,9.863,,8.5851,,9.8288,,9.5818,,16.1433,,10.9247,,9.3732,,7.9331,,8.454,,8.79,,8.065,,7.1852,,8.2594,,8.2474,,7.1687,,7.5161,,8.1237,,8.1443,,9.2319,,7.4112,,11.2979,,15.7186,,10.8015,,10.3704,,13.9848,,9.8056
2,21186,,7.6806,,9.7381,,8.4575,,9.6147,,10.9828,,13.9565,,10.9047,,9.3105,,7.921,,8.7069,,8.8,,8.0891,,7.1125,,8.2627,,8.0058,,7.0894,,7.6127,,7.2649,,8.4048,,8.8249,,7.5696,,11.792,,13.6726,,11.0604,,10.3321,,10.4079,,10.1886
3,31187,,7.7384,,9.584,,8.3658,,9.9246,,9.5181,,15.865,,11.9235,,9.6979,,7.9556,,8.3224,,8.7247,,8.0429,,7.1426,,8.4385,,8.1806,,7.1025,,8.0088,,7.4775,,8.1162,,8.921,,7.1035,,12.1863,,13.4774,,12.0415,,10.4719,,11.8101,,11.2342
4,41185,,7.8321,,9.4625,,8.2129,,9.5981,,10.7859,,15.4235,,11.1276,,9.3334,,7.8681,,8.5384,,8.8043,,7.876,,7.0571,,8.3351,,8.0471,,6.7009,,7.9745,,7.6769,,7.9417,,9.0665,,7.4022,,11.8793,,11.5787,,11.0394,,10.4992,,10.8879,,11.0893
5,51185,,7.7872,,9.6892,,8.245,,9.9836,,9.9341,,15.2711,,11.5169,,8.9763,,7.8197,,8.4048,,8.7882,,7.8536,,7.1675,,8.3839,,7.9098,,6.8264,,7.954,,7.6217,,8.1864,,8.8993,,7.1,,10.9852,,10.9096,,12.3033,,11.3962,,11.5146,,10.1346
6,61185,,7.7359,,9.5366,,8.4052,,10.3332,,13.14,,14.8068,,10.9451,,8.7908,,8.6562,,8.37,,8.4532,,7.9295,,7.251,,8.4151,,8.1567,,6.7494,,8.3472,,7.7399,,7.9613,,9.1022,,7.1244,,11.9394,,13.096,,11.4572,,10.3622,,13.6017,,9.7497
7,71184,,8.1245,,11.6851,,25.8786,,25.862,,19.6149,,14.5595,,10.457,,8.9208,,18.9758,,8.7551,,8.8488,,8.1259,,7.1498,,8.2301,,8.9796,,6.7685,,8.1817,,7.8143,,8.3091,,9.2408,,7.0055,,13.5155,,14.6574,,11.3641,,10.9025,,11.9016,,9.7104
8,81184,,8.215,,18.6534,,12.2572,,16.4941,,17.2022,,14.2424,,11.2987,,8.8871,,12.4186,,17.309,,8.9462,,8.2676,,7.574,,8.8091,,8.2664,,7.248,,8.7303,,8.078,,17.9061,,9.7722,,7.1616,,11.1171,,13.8138,,12.1639,,10.7046,,12.0651,,10.7334
9,91184,,11.4375,,16.3612,,11.7734,,17.8103,,16.9201,,14.4267,,10.8778,,9.0197,,14.1374,,14.374,,8.8402,,11.1159,,14.6001,,9.5406,,8.6903,,7.1354,,15.1176,,19.7223,,14.9505,,18.1766,,7.2963,,11.8697,,14.5474,,12.6836,,11.6217,,10.2774,,11.9127
10,101183,,14.0399,,15.3371,,14.9192,,15.2673,,19.0885,,18.0912,,11.5459,,9.7886,,14.8166,,13.6299,,9.047,,13.0392,,13.0725,,17.6591,,9.9576,,7.2386,,14.5256,,12.8409,,13.7946,,14.6601,,7.3221,,11.7401,,12.024,,11.6032,,12.4972,,11.441,,13.3093
11,111253,,12.5461,,14.9063,,17.8157,,16.976,,16.9542,,21.5328,,11.1693,,9.2854,,14.2294,,13.2249,,9.0831,,12.0935,,12.461,,13.4958,,10.0718,,7.1541,,11.7957,,10.9439,,13.9313,,14.2585,,7.5431,,12.6752,,14.9389,,13.2624,,12.933,,10.3044,,11.8837
