Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,47.2066,,38.3375,,36.2963,,21.4167,,24.3571,,15.6852,,25.9286,,26,,63.7656,,54.3958,,47.375,,70.7374,,71.2381,,50.5938,,34.9167,,39.7188,,33.92,,38.9167,,35.6531,,34.64,,38.5952,,13.7143,,10.875,,21.1071,,13.5625,,17.2778,,14.4688
1,10287,,33.2645,,39.7875,,28.4815,,25.75,,27.25,,33.2407,,38.2679,,24.7714,,40.4219,,44.4167,,46.5417,,56.7576,,47.873,,48.8281,,28.4444,,25.6563,,29.36,,29.8333,,31.1224,,32.6,,27.8095,,17.6349,,16.025,,27.7143,,17.4792,,19.9722,,17.3438
2,20286,,32.8099,,40.5875,,28.6667,,24.7292,,27.0357,,33.8889,,38.4643,,23,,39.9063,,45.1042,,44.7917,,57.3232,,47.7143,,47.7188,,28.8333,,26.5313,,28.24,,29.25,,31.4286,,31.4,,28.119,,17.6508,,16.4,,28.2143,,17.0833,,19.8611,,17.1406
3,30286,,33.0661,,39.15,,28.4444,,23.625,,27.25,,32.9074,,37.375,,23.2286,,40.9688,,44.4167,,44.8125,,58.101,,47.8095,,48.6719,,28.75,,26.0938,,28.04,,29.9167,,30.6939,,31.4,,28.0714,,17.8413,,15.775,,27.3929,,17.3542,,19.8056,,17.25
4,40286,,32.6116,,40.1,,28.1667,,24.9792,,27.6071,,32.963,,38.375,,23.9143,,40.6406,,45.125,,45.0417,,57.9596,,47.873,,47.2031,,29.3333,,25.9375,,29.28,,30,,32.2857,,31.88,,26.9524,,17.7778,,15.975,,29.2857,,17.1042,,20,,17.3438
5,50285,,32.6364,,39.8875,,28.3704,,24.1458,,28.125,,33.1481,,38.7143,,23.7143,,39.8438,,43.8125,,44.5833,,56.9192,,48.0952,,48.5469,,28.1667,,25.875,,29.04,,30.25,,30.9388,,31.32,,27.0476,,17.3492,,14.65,,27.1429,,16.3333,,19.7778,,17.3281
6,60285,,32.8595,,39.925,,29.0185,,25.3333,,27.6071,,34.0556,,38.3571,,24,,40.4688,,43.8125,,45.0833,,56.8788,,47.0952,,47.5469,,27.5833,,24.5313,,29.84,,32.75,,31.102,,30.8,,28.3571,,17.5556,,15.525,,27.6786,,17.8125,,20.8333,,17.0313
7,70285,,32.9008,,39.7125,,29.3148,,25.3125,,27.875,,33.2037,,37.5536,,24,,40.5156,,44.2292,,45.0417,,57.404,,47.4444,,48.0313,,28.3611,,24.5625,,28.72,,29.0833,,31.3061,,32.28,,28.0238,,17.7619,,15.025,,28.2143,,17.7083,,19.6944,,17.1719
8,80284,,33.8843,,39.2125,,28.5,,24.4792,,26.7679,,33.6111,,38.1429,,24.4286,,40.2188,,43.6875,,46.4583,,56.5758,,45.7937,,47.5,,28.0278,,25.7188,,27.92,,31.6667,,31.0816,,31.68,,26.619,,17.4762,,14.775,,27.5,,17.5208,,20.1389,,16.8438
9,90284,,32.4711,,40.0875,,28.2593,,26.2917,,27.8571,,32.8519,,38.2857,,25.2857,,40.4375,,44.2292,,46.0625,,57.6768,,48.0159,,47.4375,,28.9167,,25.8125,,29,,29.5,,30.6327,,32,,28.3333,,18.0317,,15.225,,28.5714,,17.3333,,20.75,,17.6563
10,100283,,32.5785,,39.825,,28.1111,,23.875,,26.9286,,32.8889,,37.0179,,24.5143,,40.3438,,44.2083,,45.25,,57.6667,,47,,47.1719,,28.8889,,24.125,,28.72,,29.9167,,31.2653,,31.26,,27.119,,17.6825,,15.1,,28.5,,17.0208,,19.8611,,17.0938
11,110283,,33.5207,,40.1625,,28.4815,,25.6667,,26.5357,,33.3519,,39.125,,24.5714,,40.7969,,44.7292,,46.6458,,57.4949,,47.8889,,47.3438,,27.6944,,25.5,,29.12,,30.0833,,31.2245,,32.44,,27.5714,,18.1111,,15.675,,28.1429,,17.75,,20.5833,,17.2188
12,120283,,33.1074,,39.1875,,28.3889,,25.2083,,26.75,,33.4444,,38.3036,,24.4286,,40.0313,,44.2917,,45.4375,,57.8081,,47.1587,,47.3906,,28.7222,,24.75,,28.72,,31.6667,,31.3673,,31.4,,27.0238,,17.8254,,15.75,,28.7857,,17.6458,,18.7222,,16.75
13,130282,,32.3884,,39.8625,,28.6111,,25.2083,,27.7679,,32.5741,,37.4643,,24.2,,41.0625,,44.4375,,45.875,,56.9596,,48.6508,,47.6094,,27.5833,,25.9063,,27.8,,30.5833,,31.7143,,31.6,,27.0714,,17.5556,,15.825,,28.2143,,17.2708,,19.7222,,16.6719
14,140282,,32.7934,,38.85,,28.6296,,25.2708,,27.5179,,32.7037,,37.8036,,24.2286,,40.4063,,45.0625,,45.4583,,57.596,,46.5556,,47.3125,,28.0556,,25.375,,27.76,,32.1667,,31.6327,,31.36,,27.5,,17.6825,,15.9,,28.1071,,16.625,,20.3333,,16.5625
15,150283,,32.719,,39.4,,28.537,,24.8333,,27.8393,,33.4444,,38.1964,,23.4286,,39.8594,,44.2708,,45.6458,,57.101,,46.873,,47.125,,29.1111,,24.625,,28.92,,29.4167,,29.9388,,31.52,,27.619,,17.7302,,16.15,,27.7857,,17.1667,,18.8889,,17.3594
16,160281,,32.8843,,39.6625,,28.6111,,25.875,,27.0357,,33.0926,,37.4643,,24.1429,,41.125,,44.3333,,45.4792,,58.3333,,48.5714,,47.2969,,27.9722,,25.375,,27.96,,28.8333,,31.3673,,31.32,,27.381,,17.6032,,15.375,,28.5,,16.6875,,21.0556,,17.3438
17,170281,,32.7107,,39.55,,28.5185,,25.4167,,26.7321,,32.8889,,37.8214,,24.2857,,40.4844,,44.2708,,44.9792,,57.2929,,47.9206,,47.5313,,28.2222,,24.9375,,27.96,,31.75,,31.2245,,31.2,,27.119,,17.4921,,16.125,,27.5,,17.2917,,20.5,,17.4688
18,180280,,33.6033,,39.2875,,28.1481,,23.9583,,26.0536,,32.1111,,37.8571,,24.0286,,40.125,,43.6667,,45.5208,,57.101,,46.6984,,47.8125,,29,,24.3438,,28.96,,30.3333,,31.4286,,31.42,,26.3095,,17.5079,,15.15,,27.3214,,16.9167,,20.4722,,17.0313
19,190280,,32.6777,,39.575,,28.2593,,25.1875,,27.2321,,33.1852,,38.9107,,23.4286,,40.4063,,43.0208,,44.7083,,57.2929,,47.0794,,47.9375,,28.5556,,25.2813,,30.08,,29.25,,30.6327,,31.12,,28.2143,,17.3492,,15.225,,27.7857,,17.0625,,20.1111,,17.0938
20,200280,,32.4793,,39.175,,28.0185,,24.3542,,27,,33.2037,,38.125,,23.5143,,40.3125,,44.1458,,44.8125,,57.1111,,47.3651,,46.2813,,27.1944,,24.6563,,28.6,,30.25,,30.102,,30.92,,26.8095,,17.8413,,14.75,,26.2143,,17.25,,19.4167,,16.7656
21,210279,,32.562,,39.7375,,28.3148,,25.0833,,26.9107,,32.8148,,38.1429,,24.1429,,40.5313,,44.9375,,45.3958,,56.8586,,46.4762,,48.125,,28.2778,,25.0938,,28.68,,30.1667,,30.2857,,30.66,,27.1429,,17.7302,,15.45,,26.9286,,16.8125,,20.1389,,17.3438
22,220279,,32.5868,,39.0375,,28.1111,,25.1458,,28.0893,,33.537,,38.1964,,23.2857,,39.9063,,44.7292,,45.7292,,56.7677,,47.3333,,48.375,,28,,25.0625,,28.08,,32,,31.7347,,31.14,,26.9762,,17.9683,,15.2,,28.8929,,17.375,,19.4444,,16.875
23,230279,,32.719,,39.9125,,28.1852,,24.375,,26.9286,,33.3704,,38.3036,,23.7143,,40.8906,,44.4792,,44.8958,,57.8889,,46.9206,,47.8281,,27.2778,,25.0938,,28.44,,29.75,,30.3673,,30.84,,27.1905,,18.3651,,14.95,,28.7857,,17.125,,18.8889,,16.8594
24,240278,,33.0331,,39.75,,28.0741,,23.7917,,26.75,,32.2963,,38.4286,,23.6286,,39.9531,,45,,45.5417,,56.9192,,47.7619,,47.1875,,27.3889,,24.625,,28.76,,30.9167,,30.7959,,31.06,,26.9762,,17.746,,14.85,,27.6071,,17.25,,20.5833,,16.7969
25,250278,,32.6364,,39.275,,28.5,,24.375,,26.8393,,32.9815,,38.3929,,25.4857,,39.375,,44.9167,,45.7292,,56.6364,,46.7619,,47.4688,,28.4444,,25.4375,,27.52,,28.9167,,30.1633,,30.7,,27.381,,17.6825,,15.475,,27.9643,,18.1875,,20.5,,17.125
26,268826,,33.157,,40.3,,29.2222,,25.1667,,28.1964,,33.1111,,38.4643,,23.9429,,39.6719,,44.375,,44.8958,,57.5354,,47.4603,,47.3594,,27.5833,,25.4375,,28.68,,30.4167,,32.0204,,31.84,,27.8095,,17.5238,,16.05,,26.7857,,17.9792,,19.6389,,16.6094
27,278823,,33.4215,,40.5375,,27.5741,,25.6042,,28.0357,,33.7407,,37.8036,,23.8,,40.2188,,44.6875,,45.2708,,58.2828,,49.0159,,47.375,,27.7778,,25.9375,,28.2,,30.5833,,30.3469,,31.44,,27.6429,,17.5556,,15.175,,28.2857,,17.2708,,20.1944,,16.6563
28,288823,,32.9339,,39.375,,28.537,,24.3958,,27.0357,,33.1667,,37.7679,,23.1429,,41.2188,,43.75,,45.7083,,57.5556,,47.0635,,48.2969,,28.8889,,24.5625,,28.28,,30.5,,31.2245,,32.26,,28.4048,,17.6667,,15.425,,28.1429,,16.6667,,19.9167,,16.9844
29,298823,,33.0826,,39.95,,28.1296,,25.5833,,27.1964,,32.7222,,37.6071,,23.8857,,41.1094,,44.6042,,46,,57.5859,,46.9365,,47.2969,,27.7222,,25.0938,,28.8,,31.1667,,30.9388,,31.56,,26.9524,,17.8413,,15.25,,27.4286,,16.4167,,19.5556,,17.3906
