Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,906,,15.891,,12.861,,12.5827,,11.4601,,12.2391,,15.6669,,16.8865,,21.2004,,23.2308,,20.6894,,19.7042,,22.4389,,21.0067,,23.3615,,27.121,,24.7069,,21.9567,,20.6473,,26.1891,,22.5687,,19.816,,20.4547,,20.3706,,18.1098,,20.2229,,20.2677,,20.2926,,26.0598
1,11228,,14.8764,,13.2191,,17.0177,,10.6649,,13.4035,,16.3462,,16.5387,,17.7923,,20.0735,,20.1654,,17.9537,,22.0635,,19.4176,,26.4206,,23.3501,,25.0083,,19.0401,,23.4072,,25.4143,,21.5747,,17.7853,,23.3998,,18.5102,,25.7791,,20.3916,,19.5636,,18.9955,,23.2414
2,21228,,16.3161,,13.1782,,13.6715,,11.5615,,13.356,,15.2984,,15.4147,,19.5112,,21.9873,,22.8119,,24.8258,,20.1998,,21.4893,,28.2887,,24.0315,,23.7749,,19.0723,,22.5197,,24.1633,,26.0508,,16.3585,,25.6486,,22.501,,23.0605,,24.4211,,22.0285,,17.9892,,19.5313
3,31227,,16.9839,,13.1102,,12.2469,,10.4052,,12.7442,,21.3029,,15.5077,,20.5499,,22.8901,,19.0209,,20.4916,,18.5596,,21.1109,,20.943,,25.1859,,24.817,,20.1749,,21.9211,,18.0644,,22.9372,,21.48,,22.5677,,25.3791,,21.5181,,21.595,,14.9413,,16.5528,,19.8921
4,41350,,16.6531,,13.8034,,13.4573,,10.7788,,13.037,,19.4665,,16.2347,,19.0334,,21.8252,,21.1446,,20.6232,,19.0546,,24.4944,,27.8014,,26.9088,,22.6172,,21.6158,,23.1901,,29.5607,,19.9381,,21.2519,,23.6883,,20.297,,19.0517,,26.6165,,22.5831,,20.3126,,23.8485
5,51227,,16.7668,,14.3159,,18.6379,,10.2673,,12.7638,,20.3931,,15.7127,,22.3521,,23.8785,,18.8116,,19.7607,,14.975,,19.4416,,28.8549,,30.6359,,20.7734,,20.8784,,24.0869,,20.6632,,19.6818,,20.9064,,28.3078,,20.6461,,21.9267,,21.1163,,20.949,,19.4233,,17.3297
6,61226,,17.0652,,13.3405,,12.464,,10.3108,,12.7036,,14.8672,,16.2144,,18.9349,,20.5714,,18.1006,,21.2157,,17.1649,,21.4577,,25.8788,,26.2763,,23.01,,15.9445,,23.012,,24.3645,,26.1833,,18.1504,,25.6016,,22.1845,,26.0407,,19.1069,,19.0947,,22.0076,,22.194
7,71226,,19.8905,,12.9691,,12.4119,,12.0263,,14.1643,,16.209,,15.8579,,16.8687,,22.2472,,19.0271,,19.591,,19.0099,,27.1595,,22.0838,,23.4402,,25.9996,,20.2954,,21.5072,,25.035,,22.1027,,16.7287,,22.3675,,24.0886,,23.2581,,16.3446,,17.1385,,20.9681,,16.9355
8,81226,,14.1057,,12.4684,,13.8881,,11.5051,,12.6272,,15.7556,,16.6832,,18.9454,,21.6712,,17.9926,,21.0031,,22.9526,,25.9334,,23.7329,,21.8692,,22.9145,,15.9319,,22.0646,,21.6589,,23.1383,,17.9318,,25.6843,,25.4114,,23.2815,,20.3589,,16.491,,21.2477,,20.8626
9,91225,,16.4801,,12.9925,,13.2688,,11.2285,,13.1563,,18.6805,,16.002,,20.9068,,21.4238,,18.1083,,24.0268,,20.7916,,22.8387,,27.5159,,27.7161,,24.4503,,25.1194,,24.1626,,26.2954,,23.6253,,20.3458,,23.609,,19.2395,,20.5034,,22.2689,,20.0863,,18.1962,,20.931
