Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,906,,25.2369,,18.9684,,20.9289,,24.126,,18.9172,,25.6617,,21.3883,,28.2845,,16.1524,,16.9966,,14.0823,,14.106,,12.1832,,13.1651,,12.6503
1,11228,,26.3675,,26.9622,,15.6643,,20.9343,,20.7303,,21.4581,,24.1056,,17.0958,,16.3754,,15.1331,,13.8189,,13.9719,,12.3553,,14.508,,13.4577
2,21228,,20.0084,,16.6543,,20.8543,,21.2666,,20.8607,,26.3994,,23.9083,,20.4439,,24.9839,,16.0422,,13.8543,,15.0758,,12.4628,,12.9896,,13.0713
3,31227,,18.7281,,20.1273,,19.3465,,20.132,,19.7032,,22.9766,,22.4395,,16.3789,,21.9932,,14.5748,,16.3399,,13.7803,,12.0998,,12.2253,,14.161
4,41350,,19.2883,,19.7732,,19.8598,,20.2252,,17.4048,,21.5949,,23.1021,,22.4171,,17.9779,,17.6855,,14.8343,,15.4044,,12.0847,,14.1495,,12.9927
5,51227,,22.2513,,22.6716,,22.5171,,18.9178,,23.7626,,25.5244,,21.9227,,19.6448,,27.1746,,17.7468,,14.5407,,14.0538,,12.5645,,13.105,,13.5045
6,61226,,24.6887,,20.333,,18.7554,,21.7595,,23.0228,,25.7452,,24.2261,,22.0818,,17.6626,,17.9356,,14.4898,,14.4418,,12.5345,,12.1602,,13.3272
7,71226,,18.6891,,19.7645,,19.3883,,17.2667,,19.8931,,18.4754,,23.6453,,18.6327,,19.1694,,15.3998,,14.8567,,14.7983,,13.4278,,13.3662,,13.3938
8,81226,,23.0527,,25.5343,,21.4233,,24.624,,19.7778,,27.8839,,21.2098,,19.1501,,18.9002,,19.1389,,14.3218,,14.2352,,12.5443,,13.0169,,13.7306
9,91225,,21.1891,,22.0767,,17.9225,,21.6531,,21.1644,,23.4527,,20.9362,,17.5226,,20.3486,,18.6235,,14.1849,,14.8199,,12.5003,,14.6594,,12.304
10,101225,,17.6932,,24.9779,,20.3822,,20.0984,,21.9755,,23.8497,,19.2163,,18.6236,,22.7899,,20.0446,,15.3565,,15.4653,,12.1774,,12.9569,,13.1798
