Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,10.8333,,20.5,,15.7,,15.7143,,19.7143,,23.3333,,26.463,,19.875,,16.4167,,17.2969,,17.2619,,16.125,,18.275,,17.825,,13.0625,,15.0208,,7.4571,,11.4568,,12.9714,,12.5,,17.5469,,17.7593,,14.4444,,13.4762,,10.1905,,12.7813,,12.0139,,12.8036
1,10242,,10.1167,,21.1042,,15.9333,,16.1786,,19.6286,,23.9,,26.7778,,19.6786,,15.7361,,17.5,,16.5476,,15.25,,19.1,,17.7,,12.5,,15.1458,,7.7143,,10.8025,,11.7286,,12.3125,,17.2344,,17.1667,,14.1667,,13.2619,,9.4286,,12.625,,12.1944,,12.8393
2,20243,,10.6,,20.125,,16.4,,16.25,,20.0571,,23.7333,,25.7037,,19.3214,,16.4444,,16.5469,,16.381,,16.5417,,18.675,,17.625,,13.1458,,14.2708,,7.8857,,11.3704,,11.8857,,12.5208,,17.3125,,17.037,,14.1667,,12.5952,,10.4603,,12.9375,,12.6667,,13.0179
3,30241,,10.3167,,20.4583,,17,,16.25,,20.4857,,23.6667,,26.2593,,18.9107,,16.5694,,17.2031,,16.5952,,16.3333,,18,,18.4,,12.5417,,14.1458,,7.3714,,10.9753,,12.1571,,12,,17.75,,17.8704,,14.0556,,12.7619,,10.381,,12.6563,,12.2361,,11.9643
4,40337,,10.95,,21.3125,,16.2333,,16.0714,,20.6,,22.8333,,26.5741,,19.375,,16,,17.0313,,16.5,,15.5417,,20.15,,18.275,,13.3333,,14.6667,,8.1429,,11.0988,,12.2,,12.9792,,17.6094,,17.2593,,14.4722,,13.0952,,10.127,,12.2813,,11.9861,,13.5536
5,50241,,11.1333,,20.8542,,16.2,,16.1071,,20.5429,,23.7333,,26.2407,,19.5,,15.4306,,17.875,,17.3571,,15.5417,,19.375,,17.425,,12.8333,,14.7083,,7.7714,,11.5185,,11.8571,,12.3958,,17.7813,,17.5185,,14.1806,,13.4286,,9.5397,,12.2031,,11.8611,,13.7143
6,60241,,11.35,,20.5417,,16.9333,,16.9643,,20.6,,23.5333,,27.0741,,19.875,,16.1111,,17.7031,,16.5,,16.9583,,18.275,,17.75,,13.625,,14.8333,,7.1714,,11.5802,,12.6,,11.7083,,17.1094,,18.2963,,13.8611,,12.6667,,9.9524,,12.1406,,12.7778,,13.7143
7,70240,,10.65,,20.3125,,17.1333,,17.0357,,19.3429,,23.3333,,27.2407,,20.1071,,16.5694,,17.4375,,17.0476,,16.75,,18.35,,18.15,,12.9167,,14.125,,7.8571,,10.9506,,12.2286,,12.25,,17.4219,,16.963,,14.4167,,13.2381,,10.7619,,12.1406,,12.5,,13.7679
8,80240,,11.4333,,20.0625,,16.6333,,16.3214,,19.3143,,23.8333,,26.9444,,19.5893,,16.2222,,17.5156,,15.9524,,15.3333,,19.6,,18.2,,13.0625,,14.25,,8.1714,,11.9012,,12.0286,,12.5417,,17.4688,,17,,13.9306,,14.4524,,10.5873,,12.1875,,12.2917,,12.9643
9,90240,,10.6,,20.4375,,17.1333,,17.25,,20.0571,,23.5333,,26.3889,,20.0179,,15.8889,,17.3438,,17.3095,,16.1667,,18.825,,17.7,,12.9792,,14.8958,,7.1429,,11.7407,,11.4857,,11.7708,,17.9844,,17.8519,,13.6667,,12.5714,,10.5238,,13.4531,,12.7639,,13.9107
10,100239,,10.7833,,20.7708,,17.7667,,16.9286,,19.8,,23.4,,26.3148,,19.8929,,15.75,,17.5938,,17.1667,,16.25,,19.1,,17.525,,13.2083,,14.6667,,7.4571,,11.5062,,12.2,,12.2708,,17.2813,,16.963,,14.3056,,13.6429,,10.5079,,12.6406,,11.5278,,13.7143
11,110239,,11.0333,,21.3125,,16.3667,,15.9286,,19.9429,,23.8333,,26.2593,,19.1429,,15.7222,,17.8125,,16.0952,,16.875,,18.825,,17.725,,13.0417,,14.625,,7.6571,,11.6914,,12.4143,,12.3958,,16.9375,,17.2407,,14.4583,,13.0714,,10.2222,,13,,11.9861,,13.4464
12,120240,,10.8333,,19.6458,,16.5667,,16.5357,,19.0286,,22.5667,,27.1667,,19.2857,,16.3333,,16.625,,16.0238,,15.75,,19,,17.75,,13.3958,,14.2917,,8.0857,,11.1481,,12.0286,,11.8333,,17.8281,,16.6852,,13.5417,,13.2619,,10.1905,,12.3906,,11.7361,,12.7143
13,130238,,10.85,,21.0833,,17.7,,15.3929,,20.1714,,23.4,,26.463,,19.125,,15.9444,,17.0156,,16.881,,16.5833,,17.925,,18.1,,13.4792,,14.7083,,7.3143,,12.4444,,12.8571,,12.6875,,17.3125,,16.0556,,14.4167,,13.0714,,10.254,,12.4375,,11.6806,,13.1607
14,140238,,10.7333,,19.875,,16.9667,,16.5357,,20,,23.6333,,27.9074,,20.0893,,16.1389,,17.1094,,15.5238,,16,,18.25,,19.2,,13.3333,,14.1875,,7.4,,11.4568,,11.9143,,12.2917,,17.9844,,17.3148,,14.1389,,13.381,,10.3333,,13.6875,,12.2083,,13.4286
15,150238,,11.1,,20.3958,,16,,16.4286,,20.4571,,23.5667,,26.6111,,19.6429,,16.125,,16.8125,,17.5952,,15.9583,,18.725,,18,,13.0417,,13.9375,,7.6857,,12.1481,,11.7143,,12.0208,,17.4063,,16.463,,13.8194,,11.9048,,9.6667,,12.7344,,11.8056,,12.9464
16,160237,,10.2833,,20.3542,,17.4667,,15.5714,,20.3143,,23.6,,25.7963,,19.4464,,16.3889,,16.4375,,17.5238,,17,,19.45,,17.425,,12.375,,14.4375,,7.5143,,11.3086,,12.5429,,12.3958,,17.7813,,16.5556,,13.9167,,12.881,,9.6032,,12.7188,,11.9583,,13.125
17,170237,,10.8333,,20.8125,,17.7,,16.3929,,20.6571,,23.6667,,26.3889,,19.4286,,15.4444,,16.8438,,17.3095,,17.0417,,18.45,,18.225,,12.9583,,14.625,,8.3143,,11.3457,,12.1,,11.7708,,18.1094,,16.8148,,14.4583,,12.8333,,10.7619,,12.2188,,11.7361,,12.375
18,216109,,10.4333,,18.4375,,14.8,,16.6071,,17.4,,21.3333,,20.8519,,18.5893,,16.1806,,17.9688,,16.7857,,16.3333,,19.35,,17.4,,12.9583,,15.0625,,7.4857,,11.4444,,12.0857,,11.7708,,17.3438,,18.1852,,13.6389,,12.4286,,10.0635,,12.6406,,11.3056,,12.5893
19,226095,,10.9,,18.4583,,14.9667,,16.6786,,18.2857,,21.0667,,20.5,,18.6071,,17.0694,,18.9375,,16.881,,16,,19.8,,17.975,,11.9167,,14.1042,,7.9143,,11.6914,,12.4,,12.1458,,17.9844,,18.0556,,13.7917,,12.2857,,10.6508,,11.8906,,12.0694,,12.4107
20,236094,,10.2,,17.4167,,15.6,,15.8571,,18.2286,,21.7,,20.8148,,18.875,,16.5417,,18.1406,,16.7143,,17.75,,19.55,,17.475,,12.9167,,14.6458,,7.7143,,11.1728,,11.6429,,11.6042,,17.125,,17.8889,,13.8333,,12.0714,,10.1587,,12.3281,,11.9306,,12.9286
21,246094,,10.8667,,17.6042,,15.0333,,15.7143,,18.0857,,21.3333,,20.7593,,18.7143,,16.8194,,17.9688,,16.3095,,16.25,,19.425,,17.4,,13.5833,,14.7917,,7.0571,,11.5679,,11.9286,,11.5,,18.0781,,17.7037,,14.1111,,12.8571,,9.7937,,12.4844,,11.9722,,12.8393
22,256094,,10.9167,,16.9375,,14.7,,16.75,,19.2571,,19.7667,,20.2778,,18.875,,16.7639,,17.7031,,16.381,,17.125,,19.6,,17.725,,13.4167,,14.625,,7.4,,11.284,,11.9286,,11.7292,,17.0156,,17.2778,,13.875,,13.2857,,9.9365,,11.875,,12.2361,,12.4464
23,266093,,10.35,,18.7292,,15.7,,16.0714,,18.5429,,21.4,,20.8148,,18.9464,,16.7222,,18.25,,16.5,,15,,20.375,,16.825,,12.5625,,13.6042,,8.0857,,10.9383,,12.1429,,11.8958,,17.5156,,17.6296,,14.4167,,12.8095,,9.3175,,12.4375,,11.3333,,12.9464
24,276093,,10.3333,,18.4583,,15.6667,,15.1786,,18.6571,,20.8667,,21,,18.5714,,16.8611,,17.9375,,15.8571,,16.7917,,19.875,,17.95,,13.25,,14.2292,,7.4857,,11.5309,,12.3286,,12.0833,,17.2656,,18.2037,,13.9583,,12.1905,,9.7937,,12.4688,,11.5417,,12.6786
25,286093,,10.1167,,17.9792,,15.3667,,16.4643,,18.2,,21.4667,,19.4815,,19.0893,,16.8056,,18.0625,,15.9524,,16.3333,,19.15,,17.125,,12.6875,,14.8542,,8.4571,,11.679,,12.1143,,11.5625,,17,,17.963,,13.8194,,12.7381,,10.127,,12.4375,,11.1389,,13.1071
26,296093,,10.7667,,17.375,,14.6,,15.3929,,17.0857,,21.2667,,21.5556,,18.6429,,16.9167,,17.6563,,16.6429,,16.0833,,19.45,,18.2,,13.4167,,14.7292,,8.4286,,11.3951,,11.6429,,11.6042,,17.1875,,18.1296,,13.8889,,12.381,,10,,12.4063,,11.6667,,13.0357
27,306092,,10.55,,17.3542,,15.7333,,14.8214,,18.0571,,20.9,,20.5185,,18.4107,,16.6806,,17.4844,,16.2381,,15.625,,19.125,,17.7,,13.0208,,14.375,,7.6857,,11.9383,,12.1857,,11.5833,,17.1719,,18.037,,14.125,,10.9762,,9.746,,12.2813,,11.7778,,12.2143
28,316092,,10.25,,18,,15.4333,,15.5357,,17.3714,,21.7667,,20.5926,,18.5,,16.6806,,18.25,,17.1905,,15.375,,20.3,,18.4,,13.0208,,14.0625,,7.0571,,11.4691,,12.0286,,11.6458,,17.125,,17.6852,,14.0972,,12.0476,,9.9683,,12.6563,,11.6806,,13.1071
29,326092,,10.4667,,17.5,,15.3,,16.2857,,17.6286,,21.9667,,21.1481,,18.6429,,16.7083,,17.7344,,17.5714,,16.2083,,18.75,,17.025,,12.5208,,15.4167,,7.4,,10.963,,11.9286,,12.3542,,17.2969,,18.4444,,13.3889,,12.5952,,10.4286,,11.9688,,11.8333,,12.4821
30,336091,,10.8333,,17.5625,,15.8667,,16.25,,16.5714,,21.9333,,19.6852,,18.5357,,16.75,,18.4375,,15.5476,,16,,19.65,,17.25,,12.8333,,14.8333,,8.1714,,11.8889,,12.3,,12.375,,17.375,,17.9074,,14.7639,,12.8571,,10.0159,,12.2031,,11.5,,11.6607
31,346091,,10.75,,18.3542,,15.5,,16.1071,,18.3429,,21.5667,,20.7037,,18.3214,,16.6806,,18.5156,,16.9762,,15.9583,,19.15,,17.95,,13.0208,,14.2083,,7.7143,,11.1852,,11.8571,,12.125,,17.5625,,17.537,,14.4028,,12.3333,,10.4286,,13.0313,,12.0139,,12.8036
32,356091,,10.6,,17.9583,,15.9667,,15.9286,,18.6,,21.6333,,20.6481,,18.5,,16.6667,,18.3906,,16.8333,,16.625,,20.125,,17.475,,12.5,,14.6458,,7.5143,,11.3333,,11.7286,,12.2917,,17.3438,,17.6111,,14.4028,,12.619,,9.6667,,12.375,,11.9306,,12.3571
33,366090,,10.7333,,17.2708,,15.6,,14.8571,,18.2286,,21.9,,20.5,,18.8214,,15.9861,,18.1094,,16.1667,,16.7917,,20.25,,18.225,,12.875,,14.2083,,7.2857,,11.7037,,11.9714,,11.875,,17.0938,,17,,13.8056,,12.8333,,9.5238,,12.3594,,12.1111,,12.5
34,376090,,10.3167,,18.5,,15.5333,,15.8929,,18.7429,,21.8,,20.537,,18.8214,,16.8333,,18.3594,,16.6905,,15.875,,20.275,,17.85,,13.3542,,14.4792,,7.6286,,11.9877,,11.8429,,12,,16.9531,,19.1481,,13.5278,,12.3333,,10.0159,,12.7344,,12.0694,,12.5714
35,386090,,10.3833,,17.8542,,15.0333,,16.8214,,18.6857,,21.3667,,20.963,,18.7321,,16.4722,,18.5938,,16.6905,,16.0833,,19.1,,17.725,,13.1875,,14.9792,,7.9714,,11.7901,,12.2857,,12.5417,,17.3281,,17.2593,,13.5694,,12.0952,,10.0635,,12.0469,,11.9444,,12.4464
36,396091,,10.4,,18.125,,15.5,,16.1071,,18.4,,21.4,,21.463,,18.625,,16.1528,,18.0156,,16.5,,16.75,,20.225,,17.975,,13.4583,,14.2083,,7.8286,,11.2593,,12.4143,,11.5833,,17.6875,,17.5741,,13.7639,,12.881,,9.8571,,12.5,,11.4444,,13.0179
37,406089,,10.65,,17.3958,,15.0333,,15.8929,,19.2,,20.9333,,20.8704,,18.8571,,17.4861,,18.6406,,16.7381,,15.5,,20.625,,17.825,,13.4792,,13.7708,,8,,11.7778,,11.9143,,11.625,,17.4531,,17.9259,,14.5694,,12.0238,,9.6667,,12.4844,,12.4583,,13.2857
38,416089,,10.8,,17.9375,,14.7667,,15.8571,,17.7714,,21.7667,,20.537,,18.125,,16.1389,,18.0781,,15.9286,,15.7917,,19.55,,17.175,,13.1667,,14.2292,,8.1429,,11.7037,,12.5,,11.1042,,17.5781,,17.5741,,14.2222,,12.7381,,9.8413,,12.5,,12.125,,13.0179
39,426089,,11.05,,18.3542,,14.8667,,15.9643,,19,,21.5667,,20.7593,,18.2679,,16.5278,,18.5156,,16.0476,,16.5,,19.95,,16.875,,13.4583,,14.6458,,6.9143,,11.9259,,12.9429,,11.3958,,17.8281,,17.8704,,13.3472,,12.2619,,9.7778,,11.5781,,12.1667,,12.6429
40,436088,,10.2667,,18.1042,,15.5667,,15.3929,,18.5429,,21,,21.1111,,18.9821,,16.4583,,18.7031,,17.2619,,18.125,,19.625,,18.525,,12.8333,,15.3125,,7.6,,11.9506,,12.4571,,11.625,,16.8281,,17.8333,,14.0833,,13.0952,,10.5714,,12.4688,,12.5278,,13.25
41,485952,,9.8167,,18.0208,,16.2667,,15.2143,,19.3143,,22.6667,,20.2778,,19.6786,,17.7222,,17.9219,,16.0714,,16.0833,,20,,17.825,,12.7917,,14.125,,8.0286,,11.7284,,11.3857,,11.8542,,17.8906,,17.1852,,14.3194,,11.9762,,10.8254,,11.75,,11.7778,,12.9107
42,495946,,10.3167,,17.9375,,14.7,,15.4286,,18.2286,,22.7,,20.7037,,18.5893,,16.7083,,18.9219,,16.7143,,16.5,,20.6,,18.225,,12.5417,,14.6667,,7.3714,,11.642,,11.5143,,11.4792,,17.0625,,18.0556,,13.6944,,12.5238,,10.3333,,12.4531,,12.0833,,12.2143
43,505947,,10.6,,18.0417,,14.8333,,15.25,,18.4571,,20.6333,,19.9074,,18.4821,,16.2361,,17.8125,,17.1905,,15.6667,,19.3,,17.85,,12.8333,,14.2708,,6.7429,,11.4198,,12.4286,,12.0417,,16.6094,,17.2222,,13.8056,,12.5238,,9.5238,,12.4844,,11.6806,,12.8929
44,515945,,11.7667,,18.0417,,14.9,,16.3571,,19,,21.8333,,20.6667,,18.2857,,17.3611,,18.4531,,16.8095,,16.4167,,19.15,,17.45,,13.1875,,14.4375,,7.8857,,11.1235,,12,,12.5208,,16.5,,17.7222,,13.6806,,12.8095,,10.0952,,11.8594,,11.9028,,12.9464
45,525945,,10.5333,,18.5208,,14.8333,,15.9643,,18.3143,,21.6667,,20.7778,,19.3393,,16.1389,,18.5313,,17.1429,,16.4583,,20.425,,17.825,,13.9375,,14.1458,,7.2286,,11.8765,,12.3143,,11.8958,,16.7969,,18.5185,,13.9306,,12.3571,,10.3016,,12.25,,11.875,,12.5
46,535945,,10.5167,,18.3333,,15.1333,,15.6071,,19.3714,,21.7667,,22.2407,,18.7857,,17.7639,,18.0469,,16.2143,,17.1667,,20.775,,18.2,,12.4167,,14.2917,,7.9143,,12.0741,,11.8,,11.9792,,17.2969,,17.8333,,14.0556,,11.9286,,9.9683,,12.3594,,11.4583,,12.75
47,545945,,9.5667,,17.6458,,15.8333,,15.6786,,18.3714,,21.3333,,21.3333,,18.1786,,16.3472,,18.4219,,16.2857,,15.7083,,20,,18.1,,12.8125,,14.7083,,7.7714,,12,,12.3,,11.8125,,16.9688,,18.2778,,14.7083,,11.9762,,10.4444,,12.2344,,10.9861,,12.6786
48,555944,,10.4333,,17.6458,,15.6667,,15.3929,,17.6286,,22.7,,20.7593,,18.9821,,16.9583,,18.6719,,16.9048,,17.6667,,19.375,,17.975,,12.875,,14.9375,,6.9714,,11.8395,,12.1143,,11.625,,16.9219,,17.9444,,14.2639,,12.1905,,10.2222,,12.7813,,12.3056,,12.1071
49,565944,,10.9333,,18.4167,,15.2667,,16.2143,,18.0286,,21.1333,,20.1111,,19.2679,,16.5833,,18.8125,,16.1667,,17.2083,,20.3,,18.8,,13.2083,,14.9583,,8,,11.1235,,12.2,,12.4375,,17.2188,,17.7593,,14.3333,,12.5476,,10.2222,,12.0938,,12.0972,,12.5714
50,575943,,10.65,,16.8333,,15.1,,15.6786,,19,,22.2667,,20.4815,,18.6071,,16.7917,,17.9063,,16.381,,15.5833,,19.825,,18.85,,12.75,,14.5417,,8.0571,,11.3704,,11.5571,,12.5417,,16.6563,,17.7593,,13.75,,11.4524,,9.9683,,11.8438,,12.0694,,12.4464
