Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,907,,12.6477,,14.3895,,24.1114,,17.0645,,13.9249,,23.0632,,15.1572,,18.9708,,21.0325,,21.7466,,15.5145,,19.0282,,25.1119,,22.7232,,21.1485,,18.6973,,17.1535,,23.325,,21.1607,,15.2415,,17.2401,,27.6824,,24.6386,,16.596,,25.4684,,14.955,,26.9587,,26.9344
1,12753,,15.0383,,13.9108,,20.2748,,18.9927,,15.5991,,26.5294,,14.9291,,21.128,,29.884,,24.9116,,15.1287,,22.1376,,26.2351,,22.1156,,19.6533,,18.8773,,21.0519,,22.3819,,23.535,,13.3821,,24.3917,,20.1982,,26.8519,,13.841,,21.3079,,13.6737,,26.6966,,24.4781
2,22756,,12.6353,,12.904,,23.7126,,15.149,,12.5485,,23.8137,,16.2629,,22.2706,,23.0021,,25.4536,,14.8101,,23.3076,,22.5012,,21.8965,,20.8481,,18.2716,,17.5282,,19.8,,20.898,,16.3797,,21.2991,,22.6568,,22.9213,,15.2623,,23.2291,,13.1383,,17.8709,,23.817
3,32772,,12.4191,,14.1084,,24.327,,17.8003,,12.2622,,24.9699,,19.8557,,22.8839,,26.0921,,19.0464,,14.4822,,21.2542,,26.2807,,18.5152,,16.848,,20.0681,,18.3641,,21.5342,,17.4892,,14.4453,,28.1261,,20.8167,,21.1711,,15.6523,,22.5435,,12.8058,,18.4219,,24.1828
4,42768,,13.2851,,14.2403,,24.7825,,18.6887,,14.7795,,20.0139,,14.9326,,20.3827,,26.6989,,24.4852,,13.6103,,24.387,,20.864,,19.8015,,15.0217,,21.7391,,20.2986,,22.3632,,22.9294,,13.8727,,19.5222,,18.5106,,24.2075,,14.4451,,21.384,,14.5166,,23.5464,,29.656
5,52758,,11.6371,,13.8845,,22.4442,,17.6819,,13.534,,24.6229,,16.9914,,25.0265,,18.8839,,22.4763,,13.694,,23.6113,,15.7852,,19.5918,,18.9186,,15.7524,,14.7854,,21.3653,,18.4924,,13.9353,,20.7002,,25.0812,,22.486,,13.9404,,23.3956,,12.3236,,23.2974,,26.6196
6,62755,,12.1667,,14.2225,,29.0259,,20.0438,,17.5972,,24.3152,,15.0344,,18.7175,,24.8089,,17.1248,,14.1266,,21.4088,,28.4472,,20.4551,,21.0976,,18.6239,,15.4015,,23.7731,,22.757,,15.7584,,22.8386,,19.6531,,26.0855,,17.4825,,27.4685,,13.9156,,25.5747,,26.0609
7,72757,,12.1587,,14.3082,,19.0504,,19.2343,,13.1983,,19.0328,,15.3294,,19.0374,,29.4875,,17.4837,,13.3925,,19.4826,,25.0567,,21.54,,19.073,,17.148,,18.4559,,20.2088,,18.2004,,13.0526,,23.1365,,25.3558,,25.1997,,18.6233,,24.9411,,15.9719,,24.5632,,26.3483
8,82755,,12.6372,,15.2285,,21.426,,20.1946,,13.2818,,19.9985,,17.0253,,17.2123,,19.1678,,21.1514,,12.6969,,19.5934,,22.8342,,29.9209,,22.4359,,15.6244,,18.667,,24.073,,16.9909,,15.2599,,22.0871,,22.6404,,23.8748,,14.6259,,24.3963,,16.9787,,25.8611,,24.2348
9,92755,,12.1572,,13.3498,,23.3819,,17.2438,,15.2775,,21.9675,,14.4515,,31.4166,,19.1004,,17.4597,,13.2431,,23.0421,,25.5668,,22.4966,,19.5815,,19.4437,,18.8259,,25.0014,,19.1562,,14.8484,,21.1545,,17.767,,25.1088,,16.5463,,26.0279,,16.2377,,26.0883,,24.2235
10,102754,,11.6859,,13.6558,,20.8177,,16.807,,13.4699,,25.4039,,16.0422,,20.0673,,29.0789,,25.8137,,13.4565,,17.1725,,20.9387,,18.7414,,19.2951,,15.8086,,19.5333,,23.5644,,24.3763,,13.5345,,24.8372,,19.7285,,26.2418,,22.4613,,23.6778,,17.4724,,20.4628,,25.1327
11,112753,,11.2615,,15.5761,,25.6752,,18.632,,14.0911,,21.9388,,16.2414,,19.4103,,19.254,,23.5643,,13.437,,18.9404,,20.5993,,22.2758,,18.7546,,17.1584,,16.9939,,18.7207,,21.8298,,14.7451,,28.2197,,21.5827,,22.6205,,21.8561,,19.6183,,14.2503,,24.9719,,24.4612
12,122753,,12.4044,,14.4825,,18.6504,,22.4235,,13.1977,,24.2038,,16.5081,,27.8041,,26.2203,,18.6038,,13.1705,,18.4145,,21.2566,,21.3593,,20.3561,,15.094,,20.354,,26.4881,,21.6983,,13.5861,,21.2693,,34.0401,,27.2651,,20.6213,,23.2108,,15.4524,,23.4711,,27.5822
13,132754,,11.6975,,14.6821,,20.7819,,22.5187,,14.1399,,20.2458,,15.861,,26.5742,,25.7696,,22.9576,,13.8773,,21.5031,,24.9167,,21.6193,,14.3025,,17.6667,,18.0572,,20.4231,,24.1702,,13.1743,,23.1742,,19.929,,27.4687,,19.8682,,24.5241,,14.4639,,20.3758,,22.0882
14,142752,,11.0934,,12.6681,,19.6446,,17.1042,,15.1743,,19.4925,,20.1,,24.5109,,22.78,,22.1819,,14.5538,,18.3777,,22.5957,,20.825,,18.6127,,17.5631,,20.2392,,20.5269,,19.7544,,12.1497,,20.202,,28.4413,,27.1842,,20.1837,,19.8424,,15.5563,,28.5021,,23.7723
15,152752,,11.6654,,13.5472,,23.164,,17.0786,,12.8105,,19.0001,,18.0589,,23.7244,,23.6717,,23.678,,14.4874,,21.1194,,19.9202,,26.1471,,18.8439,,14.4234,,18.4696,,22.9734,,18.8792,,14.7305,,20.3426,,21.2516,,24.8726,,19.6479,,25.0676,,14.3607,,19.6955,,30.6246
16,180873,,15.0439,,13.8826,,24.4813,,27.8497,,13.4906,,20.5046,,18.97,,28.114,,20.702,,21.1062,,16.7863,,19.766,,23.2324,,21.1949,,22.0345,,16.03,,17.4475,,26.07,,20.5705,,15.9857,,21.8653,,23.8949,,26.7922,,16.7391,,24.4286,,15.7111,,21.5978,,28.409
17,190863,,12.1809,,13.256,,25.6336,,18.4272,,12.6122,,24.7182,,14.9957,,22.8152,,23.7942,,24.1563,,17.4645,,19.7084,,23.8167,,23.8987,,18.2725,,15.5589,,13.568,,26.074,,27.343,,17.1105,,20.1419,,26.6594,,27.0063,,19.9064,,21.91,,14.6417,,21.2701,,27.4075
18,200876,,12.4466,,15.4579,,25.0501,,24.1294,,12.3379,,24.1897,,19.3893,,15.716,,29.6973,,26.6098,,16.089,,16.9128,,22.3269,,25.7221,,20.4331,,19.9315,,17.7195,,20.2604,,21.511,,12.6381,,21.4922,,30.8762,,23.8874,,19.8856,,20.774,,17.8798,,28.1284,,27.1741
19,210888,,10.9159,,13.2067,,28.429,,17.3292,,13.5367,,22.0463,,16.4145,,19.8773,,26.7498,,19.4961,,15.7858,,17.7853,,22.0047,,20.4771,,23.7099,,14.2524,,22.3833,,25.0478,,23.8014,,16.187,,24.591,,24.0402,,26.2107,,15.1411,,24.8541,,19.229,,18.9864,,31.034
20,220861,,12.0146,,13.1897,,18.1441,,17.1387,,12.9538,,23.0294,,16.9017,,27.6953,,30.1718,,21.7071,,15.0886,,17.6064,,23.5098,,23.5767,,23.868,,20.13,,18.2594,,21.5845,,22.3658,,14.2821,,20.4163,,22.3546,,23.9964,,15.0247,,28.6831,,21.136,,20.2003,,27.8457
21,230859,,12.08,,14.8269,,22.6331,,18.6584,,14.8742,,21.6078,,14.7212,,19.9999,,19.9484,,30.137,,14.9254,,18.0883,,23.4341,,21.5865,,21.7762,,15.6721,,19.6353,,23.2846,,23.9659,,15.8558,,20.2902,,27.5813,,24.1564,,13.0062,,27.3765,,19.8449,,22.0225,,28.1974
22,240858,,12.1975,,13.323,,24.5463,,19.8811,,13.9502,,20.1662,,18.3138,,17.9808,,17.3723,,26.4065,,14.6114,,16.6114,,21.2085,,21.3108,,29.4101,,16.0715,,19.5252,,22.699,,24.461,,14.3725,,20.7371,,23.8343,,22.0026,,16.4123,,23.5276,,19.8029,,22.0426,,25.9031
23,251757,,13.6392,,13.5102,,28.4418,,19.6004,,12.9198,,23.2686,,17.7619,,19.1067,,26.7328,,22.6001,,13.6497,,17.8245,,19.6147,,17.9348,,20.9969,,17.7643,,24.5158,,22.1834,,21.3917,,16.3665,,22.6341,,24.7849,,24.7675,,18.0236,,23.6176,,18.103,,21.3435,,25.4756
24,269278,,11.7987,,12.862,,24.1649,,16.7665,,14.6855,,24.1077,,20.6703,,22.7956,,21.5498,,18.3763,,13.1347,,22.9944,,26.7642,,22.7819,,15.3643,,17.3539,,18.8538,,20.0163,,20.8431,,15.4507,,24.7612,,32.6328,,24.0781,,15.0069,,23.1287,,17.103,,20.5216,,27.7963
25,279263,,11.7702,,14.5787,,22.8744,,15.1001,,12.9611,,25.0729,,19.5053,,27.4649,,18.2746,,23.1387,,13.0878,,23.222,,23.7216,,25.7423,,19.5799,,14.3595,,17.2969,,20.3209,,19.6437,,14.7684,,22.5249,,26.3276,,22.0791,,15.8693,,21.7203,,18.7271,,19.5781,,28.7452
26,334737,,11.7823,,16.2985,,23.9217,,18.0186,,14.8875,,16.8373,,17.1028,,22.4782,,22.7691,,18.6327,,12.6551,,16.207,,22.4639,,22.0345,,19.662,,16.3236,,17.2274,,20.6792,,20.7681,,14.311,,22.568,,30.6382,,28.3537,,14.4409,,23.2508,,15.8758,,20.9302,,24.5808
27,344732,,13.1039,,14.2107,,19.9674,,17.5953,,12.4706,,20.2481,,14.5702,,24.5214,,16.5875,,26.6798,,12.5941,,20.1899,,23.2179,,19.808,,20.9782,,15.0774,,18.8936,,26.6166,,23.8561,,15.478,,22.3748,,19.1035,,25.0125,,17.8572,,24.9419,,16.1408,,25.1795,,29.4871
28,354728,,11.2208,,13.1404,,20.6282,,20.8175,,14.3349,,25.0583,,16.4405,,25.4655,,20.6434,,17.0908,,12.8301,,20.1312,,22.3601,,22.2699,,23.9163,,15.662,,19.8735,,24.7096,,20.8285,,14.4744,,19.9961,,24.9573,,26.4307,,16.8407,,26.2742,,17.5652,,28.9711,,20.2796
