Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,34.9333,,30.6,,30.2,,34,,39.9667,,39.1563,,33.1667,,21.9167,,24.5667,,32.619,,39.1837,,27.7857,,24.2381,,31.2857,,17.2,,13.9286,,15.5833,,24.8036,,20.3542,,35.8333,,40.4643,,42.8095,,32.6,,35.4694,,39.6705,,45.2778,,43.2889,,35.0635
1,11854,,34,,28.9667,,31.2286,,35.0952,,39.9667,,39.1094,,33.6944,,21.6389,,24.9,,32.881,,39.6735,,28.7381,,24.119,,31.8776,,17.9429,,14.7619,,15.9792,,24.5714,,19.4167,,36.3333,,40.1786,,41.4762,,32.2,,36.5918,,40.25,,45.9861,,43.7333,,35.7143
2,21842,,33.9,,31.1667,,29.3714,,36.4762,,40.6333,,40.0313,,34.75,,21.4167,,26.8667,,32.6667,,40.8571,,28.4762,,25.8095,,30.4286,,17.4,,15.119,,16.9583,,24.125,,19.875,,36.625,,39.3571,,44.1905,,32.5375,,35.7347,,39.7841,,47.25,,44.6,,35.4762
3,31842,,34.1667,,30.1,,30.4857,,35.2857,,40.6,,38.8125,,33.1944,,21.3889,,25.4333,,33.1905,,40.3265,,28.4762,,25.1429,,31.5306,,18.2857,,14.7143,,15.8125,,24.6429,,19.7292,,37.0833,,40.6071,,43.7143,,32.9875,,35.898,,40.0682,,47.0833,,43.8222,,36.0159
4,41853,,35.1667,,31.1333,,30.6857,,35.8571,,40.7,,41.0625,,33.75,,21.6667,,26.5333,,33.6429,,38.8571,,28.7857,,24.5476,,31.1224,,18.7429,,14.7619,,16.375,,24.875,,19.6875,,37.375,,39.6071,,42.8571,,33.825,,36.1633,,41.2159,,46.2222,,44.5778,,37.1111
5,51842,,34.9,,30,,31.2286,,36,,39.0667,,39.7969,,33.6389,,21.6667,,24.5667,,33.3095,,39.6327,,28.7381,,25.0714,,30.898,,18.3143,,15,,15.4792,,24.0357,,19.75,,38.1667,,40.6786,,43.619,,33.1375,,36.4898,,40.4545,,46.0278,,44.4222,,37.2063
6,61841,,34.1667,,29.1333,,30.5143,,35.381,,40.0667,,40.8125,,33,,22.6667,,25.2667,,33.2857,,41.1633,,28.5952,,25.4524,,30.5714,,19.2857,,14.3571,,16.3333,,24.5536,,20.0208,,37.0833,,40.9643,,43.2857,,32.1375,,35.551,,40.1818,,45.8056,,43.8667,,36.8571
7,71842,,34.6333,,30.9667,,30.3429,,35.2857,,39.6667,,40.0625,,34.4167,,21.0278,,25.4667,,32.9524,,40.1429,,28.381,,25.5476,,30.9388,,18.6571,,15.3095,,15.5833,,25.4643,,20.1458,,36.75,,41.3571,,42.619,,32.9875,,35.6531,,40.3864,,45.8333,,44.2889,,36.3016
8,81840,,35.3667,,30.4667,,30.0857,,35.7143,,39.7667,,39.4688,,32.6389,,22.3333,,25.4667,,33,,40.5714,,29.1667,,25.7619,,31.4286,,18,,13.9286,,15,,24.2143,,20.4375,,38.625,,42.1786,,43.1905,,32.875,,35.7959,,41.0682,,45.875,,44.8,,36.8889
9,91840,,34.6333,,30.4667,,30.3143,,36.4048,,39,,40.2031,,33.4444,,22.1944,,25.5333,,33.0952,,39.898,,28.4524,,24.7619,,31.3265,,17.4857,,14.4048,,16.25,,23.8571,,20.7917,,36.3333,,41.5357,,42.1429,,32.95,,34.5102,,40.9205,,45.375,,44.0667,,36.1746
