Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,39,,33.8667,,37.0556,,34.3,,36.2778,,27.1333,,37,,38.125,,37.2,,41.5952,,41.2619,,41,,45.1389,,45.0714,,49.88,,50.1944,,29.36,,30.975,,33.3,,39.9583,,48.8571,,59.3571,,56.7619,,52.381,,47.6563,,40.4615,,44.55,,38.8111
1,11854,,38,,33.2,,38.3889,,34.6,,37.4444,,28.9,,38.6,,39.875,,40.05,,40.6429,,41.6905,,42.5143,,47.1944,,47.1786,,49.52,,49.1944,,31.44,,31.55,,33.075,,40.1667,,49.0857,,60,,58.119,,53.2381,,47.8958,,40.8077,,45.0875,,39.3333
2,21842,,34.9375,,36.2667,,38,,35.55,,37.1944,,29.5667,,37.6,,39,,39.4,,41.2619,,42.381,,43.4,,46.4722,,46.3571,,48.56,,48.9444,,31.52,,31.725,,34.325,,41.5417,,50.1714,,58.5714,,58.8571,,53.7143,,48.0938,,40.9231,,45.025,,39.8667
3,31842,,36.6875,,35.6667,,37.5833,,34.2,,36.8611,,28.6667,,37.3333,,39.25,,38.5,,41.4524,,42.8095,,43.6857,,48.1111,,46.2143,,50.8,,48.9167,,31.68,,31.325,,35.425,,38.5833,,51.4286,,59.1964,,57.9048,,54.619,,48.9063,,41.5769,,44.575,,40.3111
4,41853,,38.9375,,34.1333,,38.9444,,33.7,,37.2778,,29.2667,,39.2667,,40.75,,38.5,,42.0476,,42.7143,,43,,45.3611,,46.3929,,50.16,,49.4167,,32.92,,31.85,,35.875,,41,,49.0857,,59.8393,,57.1429,,56.4286,,48.5104,,41.6538,,45.3875,,39.9111
5,51842,,39.125,,34.4,,38.8611,,34.75,,37.8056,,28.6333,,38.5,,40.125,,38.45,,41.4048,,41.7857,,43.3429,,47.7222,,47.75,,50.08,,49.6944,,31.44,,30.825,,34.15,,41.0833,,49.9143,,58.1429,,57.4048,,56.0952,,48.5938,,41.2564,,44.975,,39.9889
6,61841,,38.5625,,36.1333,,37.6944,,34.55,,37.6944,,29.7333,,37.6,,41.6875,,39.6,,41.1905,,42.5,,43.2857,,45.8056,,48,,49.36,,51.1111,,32.2,,30.975,,33.95,,40.5,,50,,57.875,,58.1905,,53.6667,,49.1458,,41.6923,,45.5625,,40.0444
7,71842,,36.8125,,35.4,,38.0278,,34.25,,38.0833,,29.8,,38,,40.125,,38.6,,40.5238,,42.2857,,43.8,,47.3889,,46.1071,,49.08,,50.1667,,31.08,,30.375,,35.175,,39.2917,,48.4,,58.4107,,59.0714,,54.1429,,48.1667,,41.3974,,44.625,,40.3556
8,81840,,38.375,,35.0667,,38,,34.65,,36.5556,,29.8,,37.6667,,39.25,,39.95,,41.7857,,42.3095,,41.8,,47.25,,44.6071,,50.12,,49.6667,,31.16,,31.85,,34.1,,39.4583,,50.4571,,58.125,,58.619,,54.0952,,49.4792,,41.5385,,45.2875,,40.1
9,91840,,38.625,,34.3333,,39.0833,,35.85,,37.4444,,29.1,,36.5333,,40.1875,,40.65,,42.4048,,42.4286,,42.7143,,46.5556,,47.2857,,49.64,,48.3333,,31.08,,30.95,,34.6,,40.1667,,50.4571,,57.1607,,58.881,,54.381,,48.4896,,40.7436,,44.4375,,40.5
10,101839,,37.6875,,35,,38.5556,,35.65,,38.1389,,28.6667,,37.2333,,40.1875,,39.05,,41.3571,,42.4524,,41.2857,,46.5833,,47.5357,,51.48,,48.75,,31.92,,30.95,,34.45,,39.0417,,50.6571,,58.0893,,58.1905,,54.3333,,49.0313,,41.3462,,45.0125,,41.0556
11,111839,,37.75,,34.6,,38.3056,,34.05,,38,,28.6,,38.5,,39.5,,39.1,,40.9286,,43.3333,,42.2571,,47.4722,,46.6429,,50.52,,50.3611,,29.8,,31.55,,34.45,,40.0417,,50.2286,,56.7143,,58.4286,,54.0476,,48.8333,,42.141,,44.9625,,40.7222
