Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,993,,12.2446,,11.5148,,9.1301,,8.8778,,8.8563,,9.5374,,10.4857,,10.3568,,8.6442,,8.8118,,14.0291,,9.4163,,8.572,,9.1256,,11.8602,,9.272,,10.2798,,11.2429,,11.2869,,13.4642,,12.454,,12.0794,,8.7294,,10.8879,,10.0326,,9.9262,,12.2125,,12.2597
1,11187,,12.0204,,10.8933,,9.1163,,8.7531,,8.6487,,9.546,,10.2179,,10.34,,8.6089,,8.5512,,13.9662,,9.403,,8.6692,,9.2036,,10.8129,,9.4329,,10.3804,,11.4114,,11.1019,,14.2908,,11.4266,,11.2812,,8.8575,,10.8018,,9.9445,,9.479,,12.6497,,12.195
2,21203,,11.879,,10.7426,,8.9658,,8.6238,,8.8558,,9.5989,,10.0295,,10.0972,,8.685,,8.8991,,14.4443,,9.2479,,8.367,,9.1923,,10.8341,,9.2132,,9.9214,,10.8877,,10.5665,,12.8696,,11.2133,,11.0874,,8.6903,,10.7647,,9.8477,,8.9399,,11.8598,,11.2808
3,31209,,11.4419,,10.7033,,8.7597,,8.6186,,8.8564,,9.5569,,9.8998,,9.8247,,8.6781,,8.8961,,12.8195,,9.24,,8.337,,9.2102,,10.047,,9.2265,,10.2007,,11.5023,,10.4826,,11.9975,,11.1099,,10.5198,,8.6554,,10.6754,,9.7364,,8.876,,11.4271,,11.1334
4,41202,,11.6619,,10.1813,,8.9295,,8.6625,,8.9364,,9.3681,,9.5409,,9.466,,8.6723,,8.7285,,12.4644,,9.1124,,8.3753,,9.032,,10.3402,,9.3659,,9.8131,,10.8504,,9.9697,,12.6365,,10.5618,,10.3748,,8.6928,,10.6748,,9.774,,8.9307,,10.1483,,10.2857
5,51203,,11.4159,,9.9772,,8.7651,,8.9011,,8.8066,,9.2857,,9.4774,,9.5065,,8.6284,,8.4701,,11.847,,9.295,,8.3939,,8.9081,,9.8863,,9.2558,,9.8154,,11.5049,,10.0323,,12.6923,,10.4606,,10.041,,8.7965,,10.5248,,9.7417,,8.7359,,10.4906,,10.3005
6,61201,,11.7001,,10.1494,,8.7731,,8.8641,,9.0049,,9.5652,,9.4002,,9.249,,8.6123,,8.5893,,11.3892,,8.9976,,8.4174,,8.9074,,9.8883,,9.2759,,9.7511,,12.1545,,9.7789,,12.0102,,10.3813,,10.0563,,8.6628,,10.8445,,9.7907,,8.2651,,10.0927,,10.1816
7,71203,,11.6027,,10.0187,,8.7925,,8.9524,,8.701,,9.4384,,9.3592,,9.4752,,8.5707,,8.7091,,10.8195,,9.112,,8.4052,,9.1191,,9.6089,,9.2183,,9.7174,,11.4155,,9.7879,,11.024,,10.1916,,9.7158,,8.7604,,10.4879,,9.8625,,8.1233,,10.1623,,10.3348
8,81202,,11.2425,,10.2562,,8.736,,9.0057,,8.9982,,9.4215,,9.2816,,9.3173,,8.4864,,8.7673,,10.4273,,8.9544,,8.2229,,8.8121,,9.4547,,9.3092,,9.7575,,10.0408,,10.2707,,11.227,,9.9967,,9.9358,,8.6692,,9.8687,,9.6666,,8.2435,,10.3022,,9.8384
9,91200,,11.5468,,10.3863,,8.4622,,8.8522,,8.9353,,9.2317,,9.2704,,9.1803,,8.4439,,8.6778,,10.5906,,8.9547,,8.2693,,9.1684,,9.4567,,9.1549,,9.6063,,10.2235,,9.5434,,11.8327,,10.355,,9.4904,,8.7877,,9.4979,,9.9655,,8.0978,,9.8382,,10.0612
10,101205,,11.0366,,10.1422,,8.867,,8.7704,,8.7231,,9.2343,,9.2608,,8.9066,,8.4869,,8.6365,,9.9651,,9.3082,,8.4813,,9.1659,,9.2777,,9.1928,,9.6493,,10.3602,,9.6289,,13.8697,,10.1196,,9.4158,,8.8447,,9.7506,,10.0048,,8.7239,,10.1848,,10.1298
11,111199,,11.31,,10.1546,,8.6279,,8.6323,,8.5208,,9.096,,9.0944,,8.9009,,8.5159,,8.7166,,10.0059,,9.1373,,8.1714,,9.0763,,9.1195,,9.1565,,9.6262,,10.2278,,9.4689,,12.6235,,10.0112,,9.4915,,8.8417,,9.5698,,9.5888,,8.118,,10.4841,,9.6999
12,121184,,11.3116,,10.0088,,8.7604,,8.8606,,8.6091,,9.0827,,8.9098,,8.9499,,8.5873,,8.6701,,10.2739,,9.0898,,8.2417,,8.9676,,9.2768,,9.2872,,9.9458,,10.0486,,9.3198,,12.6067,,9.8713,,9.3605,,8.7142,,9.9224,,9.9255,,8.5764,,10.9166,,10.1523
13,131185,,11.3609,,9.9418,,8.633,,8.7315,,8.8556,,9.0352,,9.0138,,8.8643,,8.7046,,8.7841,,10.0419,,9.0558,,8.3637,,8.8288,,9.0775,,9.4752,,9.8764,,10.3218,,9.1018,,12.7015,,10.0696,,9.4581,,8.8035,,10.0134,,10.0199,,8.2532,,11.6789,,9.9906
14,141187,,11.9518,,9.6108,,8.7891,,8.672,,9.0301,,8.8989,,8.8839,,9.0442,,8.7506,,8.6815,,9.8817,,9.0117,,8.338,,9.065,,9.2317,,9.2744,,9.7916,,10.477,,9.1327,,10.7661,,10.2046,,9.801,,8.726,,10.3135,,10.0304,,8.5993,,11.2059,,10.119
15,151185,,11.608,,9.6866,,8.6314,,8.724,,8.6522,,9.0551,,8.9192,,8.9639,,8.4516,,8.6194,,9.667,,9.2324,,8.6392,,8.9399,,9.3859,,9.3295,,9.6948,,10.2158,,8.9888,,11.7261,,9.8443,,9.2542,,8.8186,,10.0981,,9.6979,,8.5325,,10.4747,,10.9925
16,161185,,11.3277,,9.509,,8.4836,,8.6075,,8.5726,,8.8617,,9.0219,,8.6637,,8.669,,8.7705,,9.9334,,9.1183,,8.4162,,9.1914,,9.2108,,9.396,,9.6802,,10.5446,,9.1776,,11.3103,,9.7915,,9.3505,,8.7147,,10.4835,,9.779,,8.7293,,10.0094,,10.2059
17,171183,,11.8824,,9.6962,,8.6968,,8.5503,,8.79,,9.0337,,9.1585,,8.9749,,8.6936,,8.7063,,9.778,,9.1119,,8.6234,,9.0894,,9.4255,,9.383,,9.6365,,9.8935,,9.1861,,11.4957,,9.7648,,9.2774,,8.8272,,10.3373,,9.7427,,9.0348,,9.5788,,10.2105
18,181183,,11.6022,,9.7295,,8.5222,,8.656,,8.6237,,9.089,,8.9621,,8.7732,,8.9149,,8.9488,,9.3758,,9.3506,,8.3542,,8.9218,,9.3212,,9.4804,,9.825,,9.8324,,8.8999,,11.628,,10.0044,,9.3048,,8.6887,,10.395,,9.6298,,8.4838,,9.551,,9.7629
19,191183,,11.487,,9.6279,,8.6783,,8.6008,,8.6993,,9.0842,,8.8069,,8.7725,,8.8668,,8.5508,,9.9199,,9.3176,,8.5732,,9.0684,,9.4943,,9.2637,,10.0611,,9.9769,,8.9629,,12.0436,,9.5273,,9.2055,,8.7664,,10.2375,,9.6929,,8.3959,,9.7529,,9.7737
20,201182,,12.3052,,9.8786,,8.6354,,8.5963,,8.6382,,9.173,,9.0132,,8.9374,,8.9065,,8.8134,,9.7678,,9.1466,,8.5243,,8.9921,,9.3459,,9.3049,,9.9395,,13.9669,,8.8951,,12.0452,,10.1668,,9.5103,,8.7054,,10.6485,,9.5309,,8.8885,,10.2172,,9.9093
