Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,1.9327,,2.3393,,1.8704,,2.4127,,1.8571,,2.3175,,2.3333,,1.9,,1.8571,,1.8333,,1.6852,,2.0816,,1.625,,2.3125,,1.6625,,1.8,,2.1481,,1.7381,,2.2292,,1.5179,,2.5,,1.9,,1.9722,,1.9286,,1.8252,,1.6786,,1.7857,,1.8333
1,10203,,1.5288,,1.8393,,2.463,,2.2698,,1.9286,,1.6349,,2.1667,,1.6333,,1.0893,,1.3125,,1.3889,,1.0816,,1.75,,1.75,,1.6,,1.7,,1.463,,1.5952,,2.0208,,1.9464,,1.7143,,1.4667,,2.1528,,1.6667,,1.9091,,1.5179,,1.5714,,1.5667
2,20203,,1.7115,,2.0357,,1.9259,,2.3175,,1.8036,,1.8413,,2.3333,,1.8,,2.125,,1.5833,,1.6852,,1.5714,,2.7083,,1.8542,,1.6125,,2.0286,,1.9259,,1.4286,,2.3542,,1.6786,,1.7143,,2.5333,,2.2778,,1.5952,,1.8881,,2.2143,,1.8571,,2.6667
3,30202,,1.7981,,2.0179,,1.8519,,2.2381,,1.3214,,1.8095,,1.8958,,1.9333,,1.9464,,2.0833,,1.4074,,1.8571,,1.6875,,1.8542,,1.525,,1.7714,,1.6296,,1.6667,,2.0833,,1.7321,,1.8571,,1.6,,1.6667,,2.2381,,1.8601,,1.8036,,2.0714,,1.7333
4,40202,,1.8077,,1.8036,,2.0556,,2.3333,,1.8036,,2.127,,1.5833,,1.9333,,1.2857,,1.6458,,1.5,,2.0612,,2.3333,,1.4167,,1.575,,1.9,,1.7963,,1.4762,,1.7083,,1.8929,,1.6429,,1.4,,1.7917,,2.2857,,1.6783,,1.4464,,1.6667,,2.3
5,50202,,1.7019,,1.5179,,1.7222,,2.127,,1.8036,,1.746,,1.9792,,1.9667,,1.8929,,1.7292,,1.5741,,2,,2.1458,,1.9375,,2.0625,,2.1714,,1.963,,2.1667,,1.8333,,1.5179,,1.25,,1.3333,,1.9306,,2.2143,,1.6084,,1.4643,,1.6429,,1.9
6,60201,,1.625,,1.6607,,1.6667,,1.9048,,1.3036,,1.619,,1.7917,,1.6333,,2.4464,,1.5417,,1.7222,,1.9796,,1.875,,2.0833,,1.775,,1.9,,2.3519,,1.6905,,1.6667,,1.8036,,2.3929,,1.7667,,2.1111,,1.6429,,1.9371,,1.75,,1.6905,,1.9
7,70201,,1.9712,,2.1429,,1.9815,,2.3651,,1.6607,,1.9841,,1.7083,,2.1667,,1.9821,,1.9375,,1.6667,,1.7551,,1.8958,,1.9375,,1.8625,,1.9429,,1.7778,,1.9524,,2.0625,,1.875,,2.0714,,1.3,,1.9444,,1.9286,,1.9441,,2.1964,,2.3095,,2.2333
8,80201,,1.8173,,1.9107,,2,,2.3016,,1.6607,,1.7302,,2.2708,,1.9667,,1.6786,,1.7292,,1.9815,,1.551,,2.0833,,2.5417,,1.4375,,2.1,,1.4259,,1.5476,,1.9167,,2.0536,,1.75,,2.0667,,1.6111,,2.1429,,1.7972,,1.875,,2.3571,,1.6
9,90200,,1.6731,,1.9286,,1.9074,,2.9524,,1.7143,,1.5238,,2.2083,,1.6333,,1.8571,,1.875,,1.537,,2.0816,,2.0833,,1.9167,,1.8875,,2.1857,,1.537,,1.5714,,2.0833,,1.4464,,2.0714,,1.5,,1.9722,,1.9762,,1.8531,,1.5536,,1.7857,,1.9333
10,100202,,1.6346,,2.2679,,2.2963,,2.6032,,1.8929,,1.8413,,2.1875,,2.3,,2.0179,,1.9792,,1.7037,,1.7347,,1.7917,,1.8333,,2,,1.3857,,1.9074,,1.7857,,2.5833,,1.75,,1.5714,,1.5333,,2.1667,,2.119,,1.979,,1.4286,,2.4048,,1.7333
11,110200,,1.9327,,1.5893,,1.7778,,2,,1.4821,,2.3651,,1.8125,,1.6667,,1.9643,,1.875,,2.1852,,1.5918,,1.7292,,2.1458,,2,,2.0286,,1.6667,,1.7619,,1.6042,,1.7679,,1.7143,,1.5333,,2.2778,,1.7381,,1.8881,,1.4107,,2.0476,,2.2333
12,120199,,1.75,,1.5536,,1.8704,,2.2063,,1.6429,,2.0317,,2.1042,,1.6,,1.8393,,1.5417,,1.6481,,1.7755,,1.9792,,2.125,,1.5625,,1.3714,,1.7963,,1.4762,,1.8542,,1.8036,,1.8929,,1.9333,,2,,2.3095,,2.0769,,1.6786,,2.3333,,1.7333
13,130199,,1.6442,,1.7321,,2.0556,,2.5873,,1.7143,,1.873,,1.7917,,2.5333,,2,,1.7917,,1.7222,,1.7755,,1.9375,,1.4792,,1.4125,,1.1714,,1.963,,1.7143,,1.5417,,1.8571,,2.5714,,1.8,,1.8889,,2.2619,,1.9441,,1.375,,1.5714,,1.5
14,140199,,1.7981,,1.9464,,2.2593,,2.9683,,1.6429,,1.6984,,2.3958,,1.5333,,1.5,,1.625,,1.7037,,1.3673,,2.0208,,1.5833,,1.6125,,1.7857,,2.2222,,1.7857,,1.9583,,1.6607,,1.3571,,1.5333,,2.3194,,1.619,,1.8881,,2.0536,,1.3333,,1.9667
15,150198,,1.8558,,1.8571,,1.7593,,2.3333,,1.6607,,1.9206,,1.4792,,2.1,,1.6607,,1.7708,,1.6667,,1.898,,1.8333,,2.125,,1.3375,,1.3714,,1.8519,,1.4048,,2.0208,,1.9643,,1.8929,,1.6,,1.6944,,1.7857,,1.5175,,1.875,,1.381,,1.8667
16,160198,,1.7692,,1.6964,,2.2222,,2.2063,,1.5714,,1.3968,,2.4375,,1.6333,,2.5179,,1.6667,,1.5741,,2.0612,,2.0417,,2.0417,,2.075,,1.9429,,1.9259,,2,,1.7083,,1.4464,,2.0714,,1.1667,,2.1667,,1.6667,,1.7343,,1.5893,,1.7381,,1.6333
17,170197,,1.8462,,1.4643,,2,,2.0635,,1.6607,,1.8889,,1.7708,,1.7,,2.1786,,1.6875,,1.6852,,1.7347,,1.9583,,2.25,,1.6375,,1.6286,,1.6111,,1.6905,,1.7917,,1.5893,,1.8929,,1.5333,,1.8611,,2.2381,,1.8881,,1.75,,2.0238,,1.3333
18,180197,,1.5673,,2.0179,,2.5926,,2.2381,,1.9286,,2.0476,,2.2917,,1.7667,,1.6607,,1.3125,,1.6667,,1.6939,,2.3958,,1.5833,,1.8,,1.6143,,1.963,,1.9762,,1.875,,2.1786,,2.3214,,1.2667,,2.125,,2.0714,,2.021,,1.8214,,1.4286,,1.3333
19,190197,,2.0673,,1.9643,,1.8704,,2.2063,,1.5714,,1.8413,,2.0417,,2.0667,,2,,1.875,,1.5741,,1.6327,,2.4792,,1.625,,1.5625,,1.9857,,1.8889,,1.7619,,1.5625,,1.9286,,1.5357,,1.5,,1.6667,,2,,1.7902,,1.7679,,1.3571,,1.9
20,200196,,2.0769,,2.2679,,2.6667,,2.2857,,2.125,,1.7302,,2.5417,,1.8667,,2.3929,,2.0417,,1.6852,,1.5102,,2.2292,,1.6875,,1.7625,,1.9714,,2.3519,,2.1429,,2,,1.7857,,1.7857,,1.5333,,1.9583,,2.1905,,2.2098,,1.9464,,1.9286,,1.8333
21,210196,,1.4231,,2.0536,,2.0926,,2.7619,,1.5893,,2.0317,,2.2292,,1.6333,,2.0536,,1.5833,,1.1296,,1.9184,,2.0833,,1.8958,,1.3,,2.0143,,2,,1.4524,,1.5625,,1.8929,,2.1429,,1.5667,,1.9583,,2.0952,,2.028,,1.7143,,1.7143,,2
22,220196,,1.5769,,1.875,,1.9444,,2.1746,,2.1071,,1.7143,,2.3333,,2.0667,,1.75,,1.875,,1.7037,,2.0816,,2,,2.25,,1.6625,,1.8286,,1.9444,,1.5476,,1.8333,,1.9643,,1.8214,,1.2,,1.7639,,1.4524,,1.8881,,1.7857,,2.0238,,1.9333
23,233992,,1.6635,,1.2857,,2.0556,,2.3492,,1.8036,,1.8571,,1.3125,,1.6667,,1.5,,1.3125,,1.6296,,1.898,,2,,2.125,,1.825,,1.5286,,1.9259,,1.5714,,1.5625,,1.3929,,1.7143,,1.4667,,2.2083,,1.4286,,1.7133,,1.5536,,1.7857,,1.6333
24,244025,,1.7212,,1.5536,,2.1481,,1.9206,,1.625,,1.6032,,1.8333,,1.8,,2.2321,,1.7708,,1.8519,,1.7755,,1.8333,,1.9583,,1.7125,,1.6714,,1.6111,,1.6905,,1.9583,,1.8571,,1.3571,,1.5,,2.0833,,1.8095,,1.8462,,1.2857,,2.0238,,1.2333
25,254013,,1.9327,,2.0893,,2.1667,,2.3492,,1.8214,,2.3651,,2.0625,,1.8333,,1.625,,1.4583,,2.037,,1.7959,,1.9167,,1.9583,,1.875,,1.8571,,1.8333,,1.3095,,1.4167,,1.8571,,1.5,,1.7,,1.9722,,1.8095,,1.951,,2.0714,,1.619,,1.9
26,264190,,1.8173,,2.3214,,2.2593,,2.6508,,1.9286,,1.8571,,1.8958,,2.1,,1.6429,,1.6875,,1.4815,,1.6735,,1.625,,1.9167,,1.6125,,2.1429,,2.1296,,2.1429,,1.875,,1.5357,,1.9286,,1.8333,,1.6389,,1.6905,,1.951,,2.4643,,1.381,,2.1667
27,274007,,1.6058,,1.6429,,2.1667,,2.7778,,1.5357,,1.9206,,1.9792,,1.8333,,2.0179,,1.5625,,2,,1.7143,,2.3958,,1.6042,,2.1625,,1.8143,,1.6667,,1.6429,,2.1458,,1.5179,,1.6429,,1.8,,2,,1.8571,,1.8322,,1.8571,,2.0238,,2.2
