Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,908,,8.917,,8.7721,,8.0155,,8.4868,,9.4883,,7.4117,,8.8176,,10.1592,,9.3996,,9.1687,,9.6505,,8.264,,9.615,,7.8065,,11.823,,11.4284,,11.1301,,11.0011,,10.4754,,10.0755,,10.5643,,9.7263,,12.1389,,8.9375,,8.0267,,7.8448,,9.0668,,10.1332
1,11193,,9.1206,,9.0304,,8.1128,,8.4403,,9.0272,,7.4871,,9.3342,,10.5373,,9.3063,,9.1123,,9.3486,,8.3943,,9.4274,,7.8394,,11.8045,,11.2301,,10.3649,,10.605,,10.2519,,10.1412,,10.4127,,9.4613,,13.1749,,8.9194,,8.3648,,7.896,,9.0095,,9.8339
2,21193,,8.6664,,8.8433,,7.9695,,8.3937,,9.2037,,7.2064,,8.8509,,10.548,,8.7101,,8.7756,,9.054,,8.0867,,9.6788,,7.5837,,10.996,,11.6491,,10.0695,,10.3162,,9.89,,9.9221,,10.5629,,9.906,,11.9198,,9.1859,,8.1272,,7.9678,,8.6463,,9.8783
3,31193,,8.9561,,8.6517,,8.294,,8.5309,,9.5293,,7.4165,,8.8668,,10.5647,,8.9726,,9.325,,9.6913,,8.1778,,9.6328,,7.7067,,11.9547,,11.2687,,10.9301,,10.5764,,10.4351,,10.2904,,10.3548,,10.0881,,11.7439,,9.2143,,8.2299,,8.0698,,8.9326,,9.6781
4,41191,,8.3961,,8.9793,,7.9951,,8.5393,,9.5266,,7.4946,,9.2429,,11.4433,,8.7836,,9.4188,,9.2991,,8.3283,,9.9282,,7.7659,,11.1707,,11.5113,,10.0532,,10.9087,,11.138,,9.965,,11.2149,,10.6925,,12.1853,,9.3444,,8.1051,,8.0813,,9.1774,,9.8977
5,51191,,8.7126,,8.527,,8.5683,,8.4903,,9.5752,,7.8,,9.141,,10.7186,,9.247,,9.3853,,9.266,,8.2659,,10.4627,,7.8668,,11.9576,,11.4852,,10.0182,,10.9333,,9.956,,10.3212,,11.4205,,9.9127,,13.0479,,8.9141,,8.1987,,8.3727,,8.9253,,10.2639
6,61192,,8.8629,,8.5182,,8.1145,,8.2868,,9.5173,,7.8282,,9.3364,,10.7837,,8.8853,,9.2631,,9.34,,8.1653,,12.3935,,7.9865,,12.0016,,11.2691,,10.1005,,10.4236,,10.4881,,10.4515,,10.7798,,10.1763,,12.6557,,8.3802,,7.9892,,8.0506,,8.8946,,10.2295
7,71190,,8.5893,,8.4114,,8.0659,,8.6638,,9.3767,,7.971,,8.975,,11.4403,,9.0375,,9.1736,,9.2544,,8.3233,,10.7196,,7.7776,,11.7096,,11.5605,,10.4511,,10.3073,,10.3064,,10.2734,,10.6063,,9.8937,,11.839,,8.3102,,7.8425,,8.014,,9.2319,,9.8354
8,81190,,8.8095,,8.6811,,7.9509,,8.6182,,9.5835,,7.6181,,9.5563,,11.0377,,8.822,,9.2795,,9.629,,8.0472,,10.6633,,7.6816,,11.7857,,11.2018,,11.6827,,10.5641,,10.3993,,10.4675,,11.1335,,9.9628,,12.6362,,8.2846,,8.2025,,8.0496,,8.9722,,10.1101
9,101280,,13.6787,,13.6713,,8.9451,,8.7127,,11.9989,,7.7592,,9.3179,,11.2339,,9.0268,,8.9438,,9.309,,8.7092,,10.8449,,8.1497,,13.2162,,11.7017,,13.7815,,11.0443,,10.9962,,10.9825,,11.1476,,15.8464,,13.3154,,9.5822,,15.3919,,11.918,,14.0564,,10.3757
10,111250,,13.3695,,12.7148,,8.4634,,8.6507,,12.6171,,7.72,,9.115,,11.7471,,8.8357,,9.1472,,9.4958,,8.3893,,10.3877,,7.6157,,12.8941,,11.312,,12.8954,,10.6255,,10.716,,10.141,,10.6461,,14.9274,,13.0225,,9.63,,16.0843,,12.1766,,13.6849,,9.9898
11,121250,,12.3478,,12.5521,,8.0916,,8.6885,,10.4275,,7.5528,,9.2607,,12.6846,,9.1246,,9.4406,,9.228,,8.4223,,10.5198,,7.8006,,12.5689,,11.296,,13.148,,10.5008,,10.5903,,10.6195,,10.7527,,15.2363,,13.5778,,9.8059,,15.2738,,10.4224,,13.0914,,10.0299
12,131250,,11.695,,12.4666,,7.9276,,8.5227,,10.1821,,7.4559,,9.3889,,11.7644,,9.0951,,8.9663,,9.9813,,8.3847,,10.0579,,8.3945,,12.0321,,11.1294,,12.1244,,11.4139,,11.1715,,10.2048,,10.1038,,13.1692,,13.2954,,9.2139,,14.4123,,9.8971,,11.3822,,10.023
13,141251,,11.912,,12.1668,,7.9226,,8.6423,,9.8039,,7.4546,,9.1199,,11.1899,,8.9234,,9.4378,,9.1747,,8.3198,,10.3069,,7.8186,,12.1817,,11.2589,,10.7838,,11.4981,,9.8427,,10.0993,,10.3569,,12.5838,,12.6519,,9.4123,,14.3177,,9.3192,,11.2022,,10.1294
14,151249,,11.4018,,12.0392,,7.823,,8.2994,,9.8691,,7.3808,,9.1514,,11.9084,,9.1213,,9.1346,,9.335,,8.7452,,10.1356,,7.7012,,12.3869,,11.3288,,12.5844,,11.5798,,10.2258,,10.0283,,10.4539,,11.7689,,12.8815,,8.9265,,14.2571,,9.111,,10.9002,,9.6629
15,161249,,11.8262,,12.2978,,7.9838,,8.7709,,9.6687,,7.3207,,9.3126,,11.3605,,8.6657,,9.0731,,9.1512,,8.3578,,10.2326,,7.7459,,12.3578,,11.4205,,11.9547,,11.3517,,9.9985,,10.6434,,11.2308,,11.2045,,12.7757,,8.9836,,13.4385,,9.1109,,10.2638,,9.4818
16,171249,,13.5541,,12.9215,,8.643,,8.5271,,10.0739,,7.4013,,9.2446,,11.351,,8.9543,,9.0746,,9.2786,,8.259,,10.6016,,7.793,,12.1403,,11.3587,,11.937,,10.2777,,10.6032,,10.2716,,10.6139,,11.8032,,12.5104,,8.9929,,13.7594,,8.9608,,9.9934,,10.1307
17,181247,,13.1238,,11.6903,,7.877,,8.6237,,10.2452,,7.2851,,9.237,,11.9094,,8.7889,,8.7241,,9.3313,,8.2065,,10.568,,8.0345,,11.7957,,10.871,,11.4824,,10.1292,,10.5179,,9.9499,,10.9334,,11.086,,12.7102,,9.479,,13.2703,,8.5957,,9.7982,,10.2504
18,191248,,11.596,,11.4065,,8.7792,,8.7837,,9.5298,,7.1411,,9.2003,,11.107,,8.7393,,9.3375,,9.7004,,8.2453,,10.545,,8.0272,,12.0734,,11.4667,,11.985,,11.0747,,10.7954,,10.812,,10.9878,,11.1953,,12.5303,,9.0492,,12.7039,,8.4582,,9.6932,,10.5072
19,221702,,9.8179,,10.4182,,8.4508,,8.62,,10.2468,,7.6307,,9.2001,,10.8116,,9.4179,,9.4788,,9.273,,8.3146,,10.1335,,7.9373,,11.1539,,10.7455,,11.151,,11.3557,,10.8281,,10.517,,10.4611,,11.124,,12.4247,,8.4429,,12.7755,,8.5385,,9.8171,,10.3161
20,231881,,10.0909,,9.9026,,8.5567,,8.8421,,9.5225,,7.6164,,9.3738,,10.959,,8.652,,9.1007,,9.2002,,8.1959,,10.331,,8.2217,,11.7874,,11.109,,11.602,,10.7918,,10.6174,,10.7938,,10.8744,,10.8926,,12.6287,,8.4782,,13.0741,,8.6923,,9.3822,,9.9907
21,241694,,9.0832,,10.1076,,15.0103,,8.6854,,9.7874,,7.4774,,9.2594,,11.1244,,8.7774,,9.249,,9.5165,,8.3181,,10.12,,7.9689,,11.613,,11.4954,,11.7498,,10.5251,,10.3777,,10.996,,10.8386,,11.0895,,12.5374,,8.2353,,12.1812,,8.3946,,9.6422,,9.958
22,251685,,9.5252,,9.7244,,12.3899,,8.7606,,10.1858,,7.4511,,9.0444,,11.1274,,9.5308,,9.5635,,9.3526,,8.5388,,10.3824,,8.1356,,12.1257,,11.427,,11.0966,,10.9339,,10.5261,,10.3225,,10.4961,,11.6905,,12.8615,,8.1951,,12.3898,,8.8035,,9.3226,,9.963
23,261683,,9.0732,,10.4057,,9.2091,,8.6619,,9.4886,,7.2504,,9.7246,,10.7931,,8.6687,,9.2801,,9.5529,,8.5701,,10.2419,,8.0843,,12.1574,,11.1845,,11.052,,10.8184,,10.287,,10.0902,,10.9572,,11.7195,,12.4826,,8.0352,,13.0454,,8.5007,,9.1794,,9.9113
24,271683,,9.3753,,9.7971,,8.8167,,8.5418,,9.6178,,6.9225,,9.1777,,10.3916,,9.1862,,8.8343,,9.3764,,8.4598,,10.482,,7.9457,,11.8573,,10.6751,,11.6899,,11.3045,,10.3654,,10.8407,,10.7606,,11.9062,,12.7963,,8.1474,,12.8593,,8.8178,,8.5205,,9.4465
25,281682,,9.4419,,11.3937,,8.9257,,8.7205,,10.2811,,7.2909,,9.4857,,10.4702,,9.2998,,9.1493,,9.706,,8.436,,10.21,,8.0799,,11.6065,,11.1272,,13.165,,10.974,,10.8526,,10.6192,,11.0442,,12.6691,,12.7874,,8.2758,,13.219,,8.7222,,9.1123,,9.9638
26,291682,,10.1261,,11.3608,,9.1849,,8.9681,,9.4172,,7.2432,,9.2006,,11.1271,,9.5158,,9.5916,,9.2399,,8.4245,,10.125,,8.0899,,12.2526,,10.4285,,11.361,,10.6123,,10.6046,,10.7069,,11.1482,,13.0461,,13.3832,,8.2339,,13.562,,8.6381,,9.8972,,10.5734
