Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
0,932,,9.3181,,9.8155,,9.4292,,9.3673,,13.8866,,9.3838,,9.887,,10.1114,,8.2136,,9.3576,,9.1922,,12.5542,,8.013,,10.3756,,10.2036,,10.6489,,9.4392,,9.7317,,11.0665,,10.1553,,10.8064,,10.7372,,10.1357,,11.7633,,10.1729,,10.1164,,9.4724,,9.2404
1,11209,,9.3608,,9.8353,,9.0032,,8.9463,,12.91,,9.3782,,10.2403,,9.7515,,8.1561,,9.3441,,9.5321,,12.3279,,8.3,,10.0947,,10.1328,,10.6473,,9.1721,,10.2423,,11.2186,,10.5012,,11.3039,,10.7929,,10.0622,,11.7618,,10.5198,,10.2955,,9.9803,,9.2503
2,21210,,9.3826,,9.7796,,8.9066,,9.2247,,20.154,,9.1463,,9.9402,,9.8454,,8.2041,,9.3044,,9.1194,,12.1972,,8.345,,10.1198,,10.2627,,10.8948,,9.101,,10.096,,11.049,,10.2888,,13.4136,,10.3246,,10.0224,,11.3535,,10.8192,,9.7089,,9.231,,9.5649
3,33277,,9.7045,,9.8156,,9.4379,,9.2114,,13.661,,9.5672,,9.8915,,10.2276,,8.4942,,9.4143,,8.9692,,12.9157,,8.2263,,10.2746,,10.1762,,13.3352,,9.3507,,9.6628,,10.8382,,9.7084,,11.4654,,10.5936,,9.9244,,11.3349,,10.2544,,9.6092,,9.0834,,9.592
4,43343,,9.5138,,9.6733,,9.7349,,9.3299,,12.6263,,9.1384,,9.7139,,9.859,,8.0273,,9.1782,,8.9226,,11.6702,,8.4564,,10.4152,,10.0365,,12.2099,,9.1079,,9.702,,11.0529,,10.4135,,11.2863,,10.3045,,9.9607,,11.4244,,10.3502,,9.9423,,8.9152,,9.7792
5,53349,,9.2145,,17.1169,,9.4257,,9.0199,,12.7671,,9.2301,,10.022,,9.9672,,8.1736,,9.2543,,9.6432,,12.0681,,7.88,,10.3357,,9.996,,14.4502,,9.0432,,9.5771,,10.6799,,10.0185,,10.723,,9.8783,,10.1278,,11.5126,,10.998,,10.4254,,14.0162,,11.746
6,63408,,9.2791,,16.9606,,9.2713,,9.0194,,13.2738,,9.12,,9.5366,,9.5748,,8.5242,,9.4937,,9.6402,,11.77,,8.1742,,10.8229,,10.1389,,11.8008,,9.3148,,9.7886,,12.1467,,9.9375,,10.7238,,10.4558,,10.2187,,11.0065,,10.2902,,10.4597,,11.8309,,10.8635
7,73342,,9.1104,,14.2981,,9.084,,8.8455,,13.384,,9.1636,,9.6683,,9.8461,,8.2966,,9.1144,,9.0775,,11.4989,,8.0666,,10.8371,,10.0281,,10.723,,9.1542,,9.75,,10.7653,,10.3392,,10.467,,10.4226,,10.0169,,10.9683,,10.3839,,9.9165,,9.85,,10.0642
8,83335,,16.5701,,13.609,,8.6727,,8.8576,,11.7914,,9.2938,,9.4939,,9.8562,,8.4328,,9.3418,,9.0627,,12.2197,,8.1628,,10.4551,,9.9529,,10.2284,,9.0701,,9.4339,,12.3899,,10.6507,,12.7174,,10.3769,,10.0284,,10.723,,10.8202,,9.8089,,8.9873,,10.1894
9,93298,,10.7824,,14.3348,,8.771,,9.1773,,13.0538,,9.1608,,9.9324,,10.2111,,8.3059,,8.6801,,9.3203,,11.4294,,8.0146,,10.571,,10.1305,,10.3673,,9.2069,,9.7874,,14.37,,10.6226,,11.0036,,10.8986,,10.1019,,11.1743,,10.6411,,9.7494,,9.8122,,9.4182
