,Peak_Index,Peak_Time,Peak,Delta_Ca,Time_to_Peak,AUC,Duration,Max_Upstroke,Max_Downstroke,Repolarisation_Slope,Cell
0,21,276.283,0.8607,-0.13929999999999998,275.476,28.69969334848485,464.668,0.003066426750637277,-0.00390960903909608,-0.00048110112241829723,Mean Intensity 
1,21,276.283,0.7814,-0.21860000000000002,275.476,25.525514904545318,464.668,0.0027145708582834304,-0.0028614307153576736,-0.0005491112078134229,Mean Intensity .1
2,25,316.277,0.9424,-0.057599999999999985,315.46999999999997,7.849614280302955,464.6580000000001,0.0034203420342034203,-0.002910582116423289,-0.0008790405459644145,Mean Intensity .2
3,22,286.278,0.9222,-0.07779999999999998,285.471,24.41344360909079,464.663,0.003431715857928963,-0.004328268692522983,-0.0010568707771622479,Mean Intensity .3
4,21,276.283,0.7516,-0.24839999999999995,275.476,29.680110846969658,464.668,0.0017229289792647486,-0.0022790883646541383,-0.0004579371520851058,Mean Intensity .4
5,21,276.283,0.7189,-0.2811,275.476,51.29699516060625,464.668,0.003060306030603058,-0.003951975987993993,-0.00042312297881408665,Mean Intensity .5
6,22,286.278,1.3569,0.3569,285.471,106.80668277575765,209.99,0.011905952976488238,-0.006661332266453296,-0.0014039760754661515,Mean Intensity .6
7,22,286.278,1.5432,0.5431999999999999,285.471,136.5690956515151,149.99199999999996,0.02187093546773385,-0.014800000000000013,-0.00417026553592874,Mean Intensity .7
8,22,286.278,1.5069,0.5068999999999999,285.471,143.5777665999998,149.99199999999996,0.02125062531265631,-0.009270927092709302,-0.004014913893373682,Mean Intensity .8
9,23,296.279,1.559,0.5589999999999999,295.472,151.60485255454543,149.99699999999996,0.07381690845422709,-0.009129087091290856,-0.004002200549160069,Mean Intensity .9
10,22,286.278,1.8401,0.8401000000000001,285.471,225.60860198181825,159.99199999999996,0.04479239619809903,-0.012901290129012944,-0.006459230481278276,Mean Intensity .10
11,22,286.278,1.662,0.6619999999999999,285.471,213.49345866969702,199.99,0.0231718898385565,-0.010607878424315185,-0.004676854961805412,Mean Intensity .11
12,23,296.279,1.5131,0.5130999999999999,295.472,155.56453641666667,139.99,0.033256628314157065,-0.014492898579715937,-0.004466146330243256,Mean Intensity .12
13,23,296.279,1.6984,0.6983999999999999,295.472,235.53940805757574,189.99,0.02471385015244664,-0.012991299129912951,-0.0027434116275047867,Mean Intensity .13
14,23,296.279,1.7282,0.7282,295.472,216.81619141666678,159.99199999999996,0.03581790895447723,-0.009940994099409968,-0.004390286124681361,Mean Intensity .14
15,22,286.278,1.4845,0.48449999999999993,285.471,122.63015377878774,150.02599999999998,0.06967483741870932,-0.02221777822217783,-0.007173278728492454,Mean Intensity .15
16,22,286.278,1.7667,0.7666999999999999,285.471,320.4533012590908,209.99,0.034577288644322135,-0.010272054410882187,-0.00346148565640341,Mean Intensity .16
17,11,111.611,1.0133,0.01330000000000009,110.804,346.90759140909086,284.662,0.03704370437043702,-0.02675267526752677,-0.0020453011628451547,Mean Intensity .17
18,14,176.268,0.9509,-0.04910000000000003,175.461,382.6053867545454,405.467,0.032003200320032024,-0.024357564243575564,0.005378608634999218,Mean Intensity .18
19,13,131.611,0.5713,-0.42869999999999997,130.804,248.81520548484852,395.469,0.0008399160083991683,-0.04816073570571762,0.009290781628499853,Mean Intensity .19
20,23,296.279,1.2078,0.20779999999999998,295.472,85.49691157878776,159.99199999999996,0.021650825412706347,-0.008799999999999997,-0.002330775546016667,Mean Intensity .20
21,23,296.279,0.9217,-0.07830000000000004,295.472,41.70854294696973,464.65700000000004,0.0064832416208103994,-0.005730573057305718,-0.0012209046129428823,Mean Intensity .21
22,24,306.277,2.0737,1.0737,305.46999999999997,438.7676825848485,89.993,0.04298570142985711,-0.017459999999999986,-0.011761350944953588,Mean Intensity .22
23,22,286.278,1.5786,0.5786,285.471,115.65047382424248,109.99799999999999,0.09067533766883437,-0.01468412634946019,-0.006869741540007146,Mean Intensity .23
24,22,286.278,1.8455,0.8454999999999999,285.471,204.67063373787886,139.99,0.038589294647323635,-0.014791479147914833,-0.005601634195223778,Mean Intensity .24
25,22,286.278,1.6754,0.6754,285.471,216.83928441212123,209.99,0.03173586793396696,-0.012617476504699129,-0.004062459770020845,Mean Intensity .25
26,23,296.279,1.3814,0.38139999999999996,295.472,229.49188999393937,109.993,0.01470235417603838,-0.013281328132813328,-0.005860788175071237,Mean Intensity .26
27,23,296.279,1.2466,0.24659999999999993,295.472,91.94503544242426,110.00799999999998,0.03525762881440718,-0.011465413834466195,-0.005012999892275188,Mean Intensity .27
